#OTU ID	A101	A79	A92	A93	A110	A111	A112	A113	A114	A115	A11	A12	A13	A14	A15	A16	A17	A18	A19	A1	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A2	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A3	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A4	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A5	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A6	A70	A71	A72	A73	A74	A75	A76	A77	A78	A7	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A8	A90	A91	A94	A95	A96	A97	A98	A99	A9	A100	A102	A103	A104	A105	A106	A107	A108	A109	A10	Substrate_high_level	Name	EC_Number
CBM16	13727	29107	6431	16994	8493	11809	7904	12698	12904	10882	18314	20806	18582	15736	17101	21281	12866	6373	10210	13493	16103	13055	13655	16453	17266	19054	17378	21185	17713	17729	15140	17846	17409	14409	20868	18777	25559	29091	11596	609	21369	17578	4	14752	11504	8202	11958	11288	23363	22878	17836	22379	28824	20878	23706	21788	25995	25371	20941	10836	7623	28571	19771	14235	21482	20973	25077	13068	17536	10320	15132	11640	17904	14419	23605	19598	22790	20712	15212	21089	16586	18344	19458	22662	22254	26078	17622	14964	17503	19018	18400	20395	12436	17252	5210	24321	14132	15864	18480	21847	15940	13543	13241	7676	8717	10728	21383	14297	14483	19726	19586	31	1	8	12857	cellulose, glucomannan	Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	NA
CBM18	32415	81655	16122	49483	23280	40779	27939	32105	35668	33911	60831	59662	56511	47149	54214	63473	38344	21437	28383	34919	56746	40842	49668	52405	57021	46841	43475	46924	40627	60196	38420	57294	46606	44552	55734	46491	57668	70982	31312	1608	62881	46233	4	45136	51246	29060	40322	43447	55766	56044	47630	52554	61813	49524	66138	67611	76744	74019	66452	26597	20539	64843	45771	42292	51840	49177	55043	35902	43177	24628	41911	36888	56165	44405	62959	61490	55494	43836	42805	49973	41916	46356	59854	52685	65012	50923	52261	38562	55760	58842	54414	61081	33210	62629	20574	67802	38499	38940	55316	63547	48004	43224	42087	22876	28211	29374	53702	36560	38845	53472	54672	64	0	44	42057	chitin	Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats.	NA
CBM19	14	3	10	13	42	33	37	61	83	26	12	57	40	1	3	4	6	6	5	12	26	25	22	31	7	71	115	80	42	19	19	87	672	214	11	30	26	19	33	4	29	11	0	44	2	3	2	1	165	327	226	202	468	197	116	151	122	78	87	68	48	150	169	222	182	4	0	9	5	17	15	11	19	11	407	3	26	10	29	16	53	59	74	18	327	9	14	58	34	24	86	7	5	10	0	528	7	2	17	21	35	187	11	44	13	90	42	9	67	100	59	0	0	0	13	chitin	Modules of 60-70 residues with chitin-binding function.	NA
CBM2	118127	239678	55972	165534	73520	131546	74181	102142	110936	102615	189425	190665	194870	165864	186689	223362	133384	67139	103816	117727	177366	139615	155292	174701	174706	193589	177997	214148	183431	197382	132116	189097	158528	147109	190216	165032	197916	243197	113267	5329	223305	144902	2	152554	147698	94508	125319	125251	220218	201702	171509	205321	199054	192961	202875	209991	246278	216284	212699	82602	61097	199629	129609	125855	159266	179684	183782	125175	143952	88336	145583	116727	177014	142622	209280	184221	186662	152933	137363	165956	144552	141802	164613	168296	196802	204345	158555	163167	164275	175966	187256	180685	112172	184670	64160	214083	126163	135524	185953	215385	159103	146573	152565	63386	101966	98683	180099	141753	129245	170693	166941	226	2	191	133529	cellulose, chitin, xylan	Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.	NA
CBM20	32247	73751	15826	42578	20057	33089	22511	28965	30891	28903	47060	47279	46068	48383	53039	63473	37915	21325	29841	36015	41427	31809	37000	40517	44016	43612	41936	49030	44884	48814	39756	45291	37156	33841	50495	46163	62263	70996	28916	1223	54269	47002	0	37146	48295	30189	42701	40851	56867	54475	46552	54697	51899	51475	60267	58401	67028	61692	60796	23148	18893	54399	39043	33902	41212	53617	59680	37541	42191	25286	42177	32671	51167	42230	53170	57215	57689	44704	40530	48072	40435	40999	47322	50163	52398	59720	38536	37230	40069	42887	44301	57493	33286	58718	17003	54154	37599	37746	46588	54517	40522	36157	39764	18099	26803	22542	52674	39253	35625	46345	47707	44	0	31	33087	starch	The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).	NA
CBM21	4006	9469	2138	6077	2602	4427	3476	5177	4970	4400	6244	6474	6080	6681	7300	7948	4684	2593	3250	3640	6182	4157	5381	5576	5617	5506	6190	7026	6274	6090	4846	5852	5073	4608	7059	5932	7084	8549	4352	260	8429	5345	0	5463	6695	3408	4459	4983	6976	6501	5934	6408	6819	6319	7485	7132	8003	6399	7007	3186	2477	7233	5285	4402	4974	5760	7529	4365	4289	3566	4912	3821	5293	4447	6783	5523	6710	4902	5917	7033	5594	5470	6348	4466	7416	5784	5191	4972	5382	5488	5057	6716	3502	6672	2821	7836	4910	4560	7063	8112	6084	4495	5506	3312	3688	3796	6404	5055	4155	6100	6182	7	0	5	4258	starch	Modules of approx. 100 residues. The granular starch-binding function has been demonstrated in one case. Sometimes designated as starch-binding domains (SBD).	NA
CBM22	6031	12893	3107	7981	4354	7497	4146	5399	5582	5047	9560	10337	9559	6897	7712	9890	5762	3578	4400	5242	10498	6881	8757	8910	10741	9270	9247	10399	9402	9895	5371	9983	7103	7497	9142	8398	10308	11928	4192	202	8516	6564	0	6789	8443	4831	6723	6583	11384	11114	9682	9226	9695	8728	11558	10586	12527	11195	9493	5011	3526	9310	7358	8693	8578	8430	8943	6326	8801	5195	8372	4838	7436	6624	10662	8526	7726	6546	6252	7251	6671	6894	11044	9131	10348	9588	9539	8301	10384	10400	10828	9150	4941	8151	3407	9644	7572	8937	8916	10475	7684	7381	9739	3394	5286	5312	9673	7252	7086	8833	11042	12	0	9	6635	xylan, beta-glucan	A xylan binding function has been demonstrated in several cases and affinity with mixed beta-1,3/beta-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen.	NA
CBM23	11381	20815	5043	20934	7137	12528	7486	9415	9723	9473	20643	18484	18488	13904	14392	17307	12052	6335	9772	10977	17301	13502	14606	16210	16626	15662	13705	14641	14149	21099	12419	18276	14547	13826	19623	15354	22333	24377	10128	487	21568	18208	0	15716	11630	7628	10596	12068	13894	13078	11871	13667	18032	13482	19742	23830	26278	24172	22622	7661	5755	20655	12754	11501	14277	17204	16323	11725	13523	8054	14230	11562	16375	12425	18106	17557	14694	12908	10927	16203	12597	12420	15245	14278	18262	17583	17874	12985	18683	19573	17744	11693	8776	12930	3705	18968	12427	13806	23267	23968	18596	14161	13718	5691	8804	7966	16482	15475	12909	17325	15941	22	1	14	14104	beta-mannan	Mannan-binding function demonstrated in one case.	NA
CBM24	4091	14229	2410	6971	3101	6444	2090	4546	5576	5063	8382	7329	7508	9919	11255	13489	7157	3059	5920	4283	8587	7348	7588	9484	8203	6038	5197	5170	5886	8582	5957	8987	9763	7866	8339	6246	8371	10336	4355	243	9778	6037	0	5303	8789	4839	6339	6975	9360	9308	8190	8482	9933	8385	9381	9979	10753	8839	9903	3445	2646	7965	5579	6044	7199	9473	9463	6066	5840	2985	5101	5569	9539	7496	10762	11835	11672	9498	8235	9426	6756	6423	6794	11352	11245	6948	9604	6118	9838	10776	9034	11275	6517	11320	2696	8188	5178	5030	7849	8641	6584	5421	5995	3100	2991	4963	9168	4466	5721	7284	7455	13	0	12	6239	beta-glucan	alpha-1,3-glucan (mutan)-binding function demonstrated in two cases (PMID:10636904)	NA
CBM25	395	1121	223	2011	187	638	192	597	424	378	1627	1333	1383	1052	1065	1058	747	412	684	837	1065	686	853	830	1476	874	533	786	704	1677	770	1129	290	689	1229	949	1307	1632	265	9	1195	1061	0	887	573	304	367	420	505	465	357	520	1204	442	627	660	696	465	697	782	452	2279	2024	914	1138	727	1111	436	792	449	824	258	340	297	1540	521	1370	722	432	518	485	541	567	627	1281	1341	725	419	711	649	997	442	1226	381	162	1466	507	369	2225	2364	1739	904	1404	184	398	426	684	442	635	654	783	0	0	0	1125	starch	Starch-binding function demonstrated in one case.	NA
CBM26	15224	24829	9348	21343	11422	18538	13302	12672	15819	14509	25423	23615	23027	19113	21843	24100	16249	12778	13854	18082	24191	19734	21868	24279	24954	20636	17584	20116	17231	26439	16314	25078	18737	20017	21965	20223	26501	30216	13849	570	24100	20649	0	17806	24719	17482	23535	22099	27259	25354	22681	25273	22554	23599	22040	21348	24194	24482	22505	14086	12280	28771	20026	17995	22830	22343	26260	17249	19189	14583	20305	12902	18366	17718	23361	19233	23056	17156	18156	20113	18234	17860	19740	19326	22692	25439	19689	13537	20583	21589	22177	19886	13030	20224	7867	27121	19708	18823	24140	27931	21909	18971	20308	10742	13981	14573	24337	17517	16898	21049	19873	21	0	10	18122	starch	Starch-binding function demonstrated in two cases.	NA
CBM27	13	3	4	0	7	2	5	14	19	19	0	1	2	2	2	1	19	16	10	18	142	175	105	162	90	0	5	7	0	0	5	134	82	77	13	3	3	1	1	0	0	45	0	2	2	5	6	3	21	12	29	23	12	12	33	5	6	2	3	30	41	4	19	3	21	1	0	0	49	20	87	4	0	0	0	0	2	0	0	0	0	0	2	5	1	7	194	17	227	259	193	2	2	2	2	10	5	4	0	0	0	0	1	0	6	4	72	35	7	15	35	0	0	0	0	beta-mannan	Mannan-binding function demonstrated in two cases	NA
CBM29	18	0	65	1	23	12	16	22	46	20	0	20	29	0	1	2	14	18	20	3	0	0	2	0	1	2	18	16	17	0	4	11	70	18	2	6	0	0	37	0	4	0	0	8	7	9	9	12	5	13	2	14	22	13	18	13	31	2	24	6	5	30	17	14	4	4	8	3	23	30	34	0	16	17	40	7	2	16	4	1	20	15	8	12	4	13	0	30	0	0	0	4	3	5	1	20	20	53	0	18	9	23	0	24	4	14	19	39	8	56	0	0	0	0	0	beta-mannan	Binding to mannan/glucomannan has been demonstrated.	NA
CBM3	9692	19704	4292	14971	5023	12529	5920	7863	5822	6008	17496	14068	16968	13812	14060	17824	11876	4832	8864	8184	13743	9231	13303	12771	13195	11761	12286	15436	10516	15565	8558	14745	8188	10940	14668	11172	15178	18726	6377	278	12971	10829	0	9603	6754	5003	7638	6166	21621	15668	16402	19970	12928	17668	14500	15150	17866	17666	13286	5098	3602	10105	7060	8558	8751	14399	14850	9123	13572	7806	12405	7329	10608	10077	13552	11758	12287	11961	9065	11086	7888	8276	11807	12949	13563	17479	13169	10472	13026	13542	13148	10136	7266	9091	3766	16041	9744	10200	16435	18387	14204	11532	13657	3970	8804	5396	14969	11867	9300	11830	10794	11	0	7	12132	cellulose, chitin	Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.	NA
CBM30	39	1332	50	88	38	35	14	44	53	74	155	117	287	1190	1653	1638	1546	467	1225	53	240	139	185	181	447	94	12	38	5	196	303	145	147	161	112	53	108	203	72	4	40	108	0	19	493	202	329	310	58	71	27	50	84	75	59	81	110	208	21	52	72	44	50	36	53	405	834	234	279	81	128	484	366	293	109	402	606	385	627	599	133	123	194	113	76	121	20	208	60	54	577	860	153	668	389	53	125	189	110	96	68	62	7	52	74	63	225	42	31	50	86	0	0	0	99	cellulose	Binding to cellulose has been demonstrated for the N-terminal module of Fibrobacter succinogenes CelF.	NA
CBM31	1008	1798	617	2227	899	1721	794	540	767	794	3015	2223	2325	1297	1075	1626	1467	607	1098	959	1899	1458	1671	1867	2078	2174	1355	1407	1817	3390	668	2109	1422	1492	3467	2590	1758	2849	788	34	2001	732	0	1159	698	433	712	773	2003	2392	1788	2116	1684	1685	1297	1537	1622	1319	1557	750	693	1839	1001	898	1838	1463	1458	820	1436	874	1311	681	901	828	1884	1539	1640	1173	948	1159	1159	1402	1584	2363	1303	3296	1510	1127	1448	1838	2266	2569	799	1775	612	1854	1184	1364	2572	2548	2139	1756	1546	617	835	869	1678	959	798	1399	919	1	0	0	2125	xylan	Binding to beta-1,3-xylan has been demonstrated for the C-terminal module of the beta-1,3-xylanase of Alcaligenes sp. XY234.	NA
CBM32	147297	260033	65428	196488	85784	151525	93213	115621	132749	121663	225431	225967	216545	184155	200601	245578	151650	76257	120374	136655	211381	164768	185926	205419	203678	210572	195948	218318	194872	226311	156396	216736	176749	169393	245526	197707	245636	300699	130380	6023	274839	182841	6	185417	141339	92747	131472	124036	239592	219853	193048	228540	241945	214895	252084	254871	297455	266965	264243	106577	79468	261945	169118	163996	211238	209558	226966	138450	176965	106379	156693	118508	174936	145528	257842	195100	200583	167447	144705	179958	166191	162990	187923	191471	246306	251853	203005	166527	212788	224401	218640	182792	122289	181324	65743	268444	154541	164670	223152	254603	193685	185451	160252	79284	115441	120311	222588	180251	158351	213073	191043	268	2	164	156901	host glycan	Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).	NA
CBM34	1232	3652	656	2984	604	2257	480	1069	1217	1131	2819	2550	2710	1192	1026	1544	1322	681	978	1264	2721	1851	2261	2382	3792	1895	2259	2513	1731	2969	1260	2210	1862	1585	1804	1499	1884	2418	1080	31	1481	1854	0	832	1283	679	984	642	3828	4214	3473	3586	2267	2983	2047	1736	2206	1399	1268	1075	604	1478	1255	2664	1557	1254	1837	913	1332	718	1144	907	1249	1182	2292	1366	1559	1097	1054	1055	1392	2146	3655	2099	2602	2428	2638	2016	2647	2641	2374	2320	1149	2767	620	2260	1414	2102	3173	3381	2604	1715	1939	798	1238	1291	3145	1407	996	1508	1475	1	0	2	1807	starch	Modules of approx. 120 residues. Granular starch-binding function has been demonstrated in the case of Thermoactinomyces vulgaris R-47 alpha-amylase 1 (TVAI).	NA
CBM35	32505	74738	14010	43378	17433	32484	20575	25715	27157	24443	51754	47920	48364	46200	48697	58693	36662	16864	27475	30825	43995	33405	38933	42572	44133	43854	40409	45787	40417	47532	36072	44229	33080	34739	57517	43864	55336	67957	25485	1179	57284	40301	0	41113	31163	18595	25184	26255	46238	46010	37875	42653	47715	42451	55441	62014	65382	66317	60244	22087	16707	53124	37406	30117	43757	48548	59074	32568	42470	24043	38191	30383	41820	33304	50707	48803	50713	40264	34718	46495	35435	34460	39068	48909	48046	66801	36464	32675	37357	40272	42958	41403	31536	40919	17053	50922	36238	40951	48832	55357	42763	42056	38526	17942	29716	24130	50251	38828	33590	47309	45335	46	0	38	35870	xylan, beta-mannan, beta-galactan	Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a Phanerochaete chrysosporium galactan 1,3-beta-galactosidase binds to beta-galactan.	NA
CBM36	4	2	4	555	10	157	13	9	32	72	428	393	334	122	203	213	37	5	10	10	416	401	413	598	262	58	33	89	11	313	67	560	148	374	71	13	67	139	5	1	5	74	0	1	27	37	105	41	0	11	0	4	78	3	50	49	11	8	6	11	5	60	30	11	5	160	123	180	7	3	3	165	317	118	57	249	147	55	66	177	25	16	16	66	98	1	537	133	412	592	406	106	46	160	29	21	124	47	668	575	463	369	359	13	63	154	1	3	4	7	34	0	0	0	375	xylan	Modules of approx. 120-130 residues displaying structural similarities to CBM6 modules. The only CBM36 currently characterised, that from Paenbacillus polymyxa xylanase 43A, shows calcium-dependent binding of xylans and xylooligosaccharides. X-ray crystallography shows that there is a direct interaction between calcium and ligand.	NA
