"Annotation","sequencing_id","reads","Sum","relabund","resampled_reads","resampled_sum","resampled_relabund","relabund_diff","sample","extract_ID","tag","extraction_day","sample_mg","conc_ngul","X260.280","X260.230","notes","sample_id","LIMS_ID","top_emitters","rank","variable_emitters","species","species_s","range","range_rank","ID_measurement","flux.CH4","avg_respT","wall_thickness_mm","resampled_relabund_scaled"
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A11",318,25100531,1.26690546905163e-05,95,6913446,1.37413382559146e-05,-1.07228356539833e-06,"MD14","MD14-3-mid",11,"21/11/2022",251,234.3,1.99,1.43,NA,"AB011","POW13003A11",NA,NA,"y","C. acinaciformis","C. acinaciformis",6477.62487110762,3,"MD14-3",5506.98394853082,33,NA,1.34451871615103
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A12",212,23790038,8.91129303786736e-06,61,6913446,8.82338561695571e-06,8.79074209116512e-08,"MD14","MD14-4-low",12,"21/11/2022",277,107.8,2.05,1,NA,"AB012","POW13003A12",NA,NA,"y","C. acinaciformis","C. acinaciformis",6477.62487110762,3,"MD14-4",6789.49593104915,31.6333333333333,NA,0.613528475607883
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A13",258,23664745,1.09022936862409e-05,78,6913446,1.12823619364352e-05,-3.80068250194311e-07,"MD14","MD14-5-top",13,"21/11/2022",241,224,1.94,0.7,NA,"AB013","POW13003A13",NA,NA,"y","C. acinaciformis","C. acinaciformis",6477.62487110762,3,"MD14-5",1448.92188559622,32.6333333333333,NA,1.00083405201403
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A14",107,19973231,5.35717030459418e-06,40,6913446,5.78582663406932e-06,-4.28656329475135e-07,"MD23","MD23-1-mid",14,"21/11/2022",247,65.5,2.04,0.6,NA,"AB014","POW13003A14","y","bottom",NA,"A. laurensis","A. laurensis",190.005575925238,10,"MD23-1",967.477707417357,32.4666666666667,NA,-0.0778482725378715
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A15",107,22362332,4.78483192182282e-06,33,6913446,4.77330697310719e-06,1.15249487156345e-08,"MD23","MD23-2-low",15,"21/11/2022",273,45.8,2.25,0.51,NA,"AB015","POW13003A15","y","bottom",NA,"A. laurensis","A. laurensis",190.005575925238,10,"MD23-2",929.039950679122,34.0666666666667,NA,-0.189184171609382
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A16",94,26650871,3.52708922721513e-06,19,6913446,2.74826765118293e-06,7.78821576032199e-07,"MD23","MD23-4-low",16,"21/11/2022",282,55,2.03,0.56,NA,"AB016","POW13003A16","y","bottom",NA,"A. laurensis","A. laurensis",190.005575925238,10,"MD23-4",826.934790204487,29.5333333333333,NA,-0.433850470288694
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A17",54,16406999,3.29127831360263e-06,28,6913446,4.05007864384852e-06,-7.58800330245896e-07,"MD24","MD24-1-mid",17,"21/11/2022",263,43.6,2.35,0.62,NA,"AB017","POW13003A17","y","bottom",NA,"A. laurensis","A. laurensis",1034.09179126576,7,"MD24-1",450.108052832291,35.1,5.92,-0.479722319649546
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A18",24,8943847,2.68340905205556e-06,23,6913446,3.32685031458986e-06,-6.43441262534295e-07,"MD24","MD24-3-mid",18,"21/11/2022",272,50.4,2.49,0.22,NA,"AB018","POW13003A18","y","bottom",NA,"A. laurensis","A. laurensis",1034.09179126576,7,"MD24-3",440.128391315277,32.2333333333333,4.83,-0.597969973117361
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A19",46,12773063,3.60132882770562e-06,21,6913446,3.03755898288639e-06,5.63769844819225e-07,"MD24","MD24-4-low",19,"21/11/2022",265,84.3,1.98,0.57,NA,"AB019","POW13003A19","y","bottom",NA,"A. laurensis","A. laurensis",1034.09179126576,7,"MD24-4",483.165591267314,32,3.52,-0.419408781741972
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A1",6,14758386,4.06548520956153e-07,4,6913446,5.78582663406932e-07,-1.72034142450779e-07,"MD10","MD10-1-low",1,"21/11/2022",261,65.6,2.09,0.69,NA,"AB001","POW13003A1","y","top",NA,"A. laurensis","A. laurensis",1759.51138983046,6,"MD10-1",4111.91423659021,32.1666666666667,8.63,-1.04088332983287
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A20",78,23507654,3.31806823428659e-06,23,6913446,3.32685031458986e-06,-8.78208030327298e-09,"MD26","MD26-1-mid",20,"21/11/2022",243,155.4,2.05,0.8,NA,"AB020","POW13003A20",NA,NA,"y","C. acinaciformis","C. acinaciformis",7810.49843139381,2,"MD26-1",10735.6148457133,35.9666666666667,46.2,-0.474510927236966
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A21",55,17947552,3.06448478321723e-06,21,6913446,3.03755898288639e-06,2.69258003308393e-08,"MD26","MD26-2-low",21,"21/11/2022",266,466.1,1.47,0.73,NA,"AB021","POW13003A21",NA,NA,"y","C. acinaciformis","C. acinaciformis",7810.49843139381,2,"MD26-2",2925.11641431949,32.3,75.61,-0.523840034569859
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A22",77,21070923,3.65432496715972e-06,32,6913446,4.62866130725546e-06,-9.74336340095735e-07,"MD26","MD26-3-mid",22,"21/11/2022",260,255.6,1.94,1.08,NA,"AB022","POW13003A22","y","top","y","C. acinaciformis","C. acinaciformis",7810.49843139381,2,"MD26-3",2980.94407705321,39.1,56.28,-0.409099543342004
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A23",64,23176988,2.76135967279269e-06,22,6913446,3.18220464873813e-06,-4.2084497594544e-07,"MD26","MD26-4-low",23,"21/11/2022",267,242.3,1.96,0.84,NA,"AB023","POW13003A23","y","top","y","C. acinaciformis","C. acinaciformis",7810.49843139381,2,"MD26-4",5114.13256320979,35.2333333333333,108.92,-0.582806386847075
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A24",76,23006737,3.30338022293209e-06,21,6913446,3.03755898288639e-06,2.65821240045699e-07,"MD26","MD26-5-top",24,"21/11/2022",252,188.2,1.87,1.09,NA,"AB024","POW13003A24","y","top","y","C. acinaciformis","C. acinaciformis",7810.49843139381,2,"MD26-5",5900.63804141952,35.9,31.76,-0.477368158201989
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A25",93,21721680,4.28143679494404e-06,22,6913446,3.18220464873813e-06,1.09923214620591e-06,"MD27","MD27-1-mid",25,"22/11/2022",281,51.3,1.93,0.72,NA,"AB025","POW13003A25",NA,NA,"y","C. acinaciformis","C. acinaciformis",3890.78028893969,5,"MD27-1",3860.50298833478,32.5666666666667,51.3,-0.287108669994206
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A26",162,20315584,7.97417391496105e-06,70,6913446,1.01251966096213e-05,-2.15102269466026e-06,"MD27","MD27-2-low",26,"22/11/2022",263,87.6,1.95,2.01,NA,"AB026","POW13003A26",NA,NA,"y","C. acinaciformis","C. acinaciformis",3890.78028893969,5,"MD27-2",2237.10963112798,29.7666666666667,62.3,0.431232471658834
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A27",194,22198512,8.73932450967885e-06,46,6913446,6.65370062917972e-06,2.08562388049913e-06,"MD27","MD27-3-mid",27,"22/11/2022",259,48.2,1.93,1.66,NA,"AB027","POW13003A27",NA,NA,"y","C. acinaciformis","C. acinaciformis",3890.78028893969,5,"MD27-3",2588.03353202318,30.0666666666667,81.9,0.58007576428497
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A28",65,20282758,3.20469237960636e-06,20,6913446,2.89291331703466e-06,3.11779062571704e-07,"MD27","MD27-4-low",28,"22/11/2022",253,57.6,1.81,0.74,NA,"AB028","POW13003A28",NA,NA,"y","C. acinaciformis","C. acinaciformis",3890.78028893969,5,"MD27-4",4728.41404764505,30.8333333333333,66.96,-0.496565717014828
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A29",336,25183982,1.33418138561249e-05,90,6913446,1.3018109926656e-05,3.23703929468929e-07,"MD27","MD27-5-top",29,"22/11/2022",246,186.9,1.89,1.24,NA,"AB029","POW13003A29",NA,NA,"y","C. acinaciformis","C. acinaciformis",3890.78028893969,5,"MD27-5",837.633758705357,30.2,67.5,1.47538927946874
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A2",43,16220271,2.65100379642239e-06,13,6913446,1.88039365607253e-06,7.70610140349861e-07,"MD10","MD10-2-mid",2,"21/11/2022",247,32,2.83,1.4,NA,"AB002","POW13003A2","y","top",NA,"A. laurensis","A. laurensis",1759.51138983046,6,"MD10-2",4034.77095723337,31.5333333333333,8.56,-0.604273705977442
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A30",105,24998646,4.20022748432055e-06,30,6913446,4.33936997555199e-06,-1.39142491231439e-07,"MD28","MD28-1-mid",30,"22/11/2022",266,226.6,1.88,1.75,NA,"AB030","POW13003A30","y","bottom",NA,"C. acinaciformis","C. acinaciformis",378.2912629189,22,"MD28-1",0,25.7333333333333,NA,-0.302906163021779
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A31",180,18909220,9.51916578261822e-06,66,6913446,9.54661394621438e-06,-2.74481635961607e-08,"MD28","MD28-2-low",31,"22/11/2022",268,218.2,1.9,1.05,NA,"AB031","POW13003A31","y","bottom",NA,"C. acinaciformis","C. acinaciformis",378.2912629189,22,"MD28-2",97.7517486982609,26.6333333333333,NA,0.731776806656718
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A32",199,19235057,1.03456932828429e-05,78,6913446,1.12823619364352e-05,-9.36668653592289e-07,"MD28","MD28-3-mid",32,"22/11/2022",251,312.3,1.86,1.46,NA,"AB032","POW13003A32","y","bottom",NA,"C. acinaciformis","C. acinaciformis",378.2912629189,22,"MD28-3",20.6308266331536,27.1,NA,0.892559632192993
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A33",129,23337961,5.5274751723169e-06,41,6913446,5.93047229992105e-06,-4.02997127604156e-07,"MD3","MD3-1-mid",33,"22/11/2022",258,10.9,2.01,0.57,NA,"AB033","POW13003A33","y","bottom","y","A. laurensis","A. laurensis",3887.11513571411,3,"MD3-1",4265.47589643532,31.7666666666667,NA,-0.0447191899270737
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A34",59,20409438,2.89081943363654e-06,25,6913446,3.61614164629332e-06,-7.25322212656788e-07,"MD3","MD3-2-low",34,"22/11/2022",255,22.5,1.96,1.03,NA,"AB034","POW13003A34","y","bottom","y","A. laurensis","A. laurensis",3887.11513571411,3,"MD3-2",1295.74714700719,29.6666666666667,NA,-0.557622825336941
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A35",100,25517997,3.91880287469271e-06,28,6913446,4.05007864384852e-06,-1.31275769155812e-07,"MD3","MD3-3-low",35,"22/11/2022",272,26.8,1.93,0.25,NA,"AB035","POW13003A35",NA,NA,"y","A. laurensis","A. laurensis",3887.11513571411,3,"MD3-3",378.360760721211,30.3333333333333,NA,-0.357651158075311
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A36",85,30567304,2.78074899899579e-06,18,6913446,2.60362198533119e-06,1.77127013664596e-07,"MD3","MD3-4-mid",36,"22/11/2022",264,15.3,2,0.43,NA,"AB036","POW13003A36","y","bottom","y","A. laurensis","A. laurensis",3887.11513571411,3,"MD3-4",2003.41053638104,32.5666666666667,NA,-0.579034618029543
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A37",11,12970206,8.48097555273987e-07,7,6913446,1.01251966096213e-06,-1.64422105688144e-07,"MD32","MD32-1-mid",37,"22/11/2022",256,28.8,2,0.39,NA,"AB037","POW13003A37",NA,NA,"y","N. magnus","N. magnus",9970.32021396433,4,"MD32-1",1718.9636026799,32.9666666666667,40.6,-0.95498963442511
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A39",32,26244419,1.2193068552975e-06,6,6913446,8.67873995110398e-07,3.51432860187104e-07,"MD32","MD32-3-mid",39,"22/11/2022",247,38.9,1.98,1.59,NA,"AB039","POW13003A39",NA,NA,"y","N. magnus","N. magnus",9970.32021396433,4,"MD32-3",809.034457261966,31.9,24.49,-0.88277899399645
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A3",26,19347595,1.34383627525798e-06,13,6913446,1.88039365607253e-06,-5.36557380814544e-07,"MD10","MD10-4-mid",3,"21/11/2022",279,27.8,1.93,1.49,"redo","AB003","POW13003A3","y","top",NA,"A. laurensis","A. laurensis",1759.51138983046,6,"MD10-4",3993.10220355445,32.1333333333333,9.11,-0.858554522338583
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A41",33,18053006,1.82795042554132e-06,8,6913446,1.15716532681386e-06,6.70785098727456e-07,"MD32","MD32-5-top",41,"22/11/2022",260,34.4,1.87,0.69,NA,"AB041","POW13003A41",NA,NA,"y","N. magnus","N. magnus",9970.32021396433,4,"MD32-5",10779.3546712263,30.5666666666667,32.76,-0.764380715727805
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A42",115,19749774,5.82285144123674e-06,54,6913446,7.81086595599358e-06,-1.98801451475684e-06,"MD37","MD37-1-mid",42,"22/11/2022",255,155.6,1.95,2.07,NA,"AB042","POW13003A42","y","top","y","A. laurensis","A. laurensis",8243.03766122695,1,"MD37-1",10243.8058034396,38.6,4.53,0.012739794922658
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A43",52,12826089,4.05423664220637e-06,23,6913446,3.32685031458986e-06,7.27386327616507e-07,"MD37","MD37-2-low",43,"22/11/2022",256,77.8,1.96,1.25,NA,"AB043","POW13003A43","y","top","y","A. laurensis","A. laurensis",8243.03766122695,1,"MD37-2",6832.87164499996,36.1333333333333,4.21,-0.331305484388774
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A44",76,17199656,4.41869302502329e-06,28,6913446,4.05007864384852e-06,3.68614381174767e-07,"MD37","MD37-3-mid",44,"22/11/2022",260,75.1,1.86,0.74,NA,"AB044","POW13003A44","y","top","y","A. laurensis","A. laurensis",8243.03766122695,1,"MD37-3",12552.8432794677,38.8,12.21,-0.260408476124551
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A45",91,17503958,5.19882417450956e-06,35,6913446,5.06259830481065e-06,1.36225869698905e-07,"MD37","MD37-4-low",45,"22/11/2022",253,48.4,1.95,1.53,NA,"AB045","POW13003A45",NA,NA,"y","A. laurensis","A. laurensis",8243.03766122695,1,"MD37-4",4309.80561824075,39.3,13.01,-0.108651044618438
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A46",50,24272908,2.05990975617755e-06,12,6913446,1.7357479902208e-06,3.2416176595675e-07,"MD38","MD38-1-mid",46,"22/11/2022",245,30.7,1.72,0.43,NA,"AB046","POW13003A46",NA,NA,"y","N. magnus","N. magnus",7008.549954868,8,"MD38-1",7981.94529780304,39.9,NA,-0.71925810749147
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A47",66,22989426,2.87088507559954e-06,17,6913446,2.45897631947946e-06,4.11908756120078e-07,"MD38","MD38-2-low",47,"22/11/2022",246,57.5,1.7,0.4,NA,"AB047","POW13003A47",NA,NA,"y","N. magnus","N. magnus",7008.549954868,8,"MD38-2",10496.3545741507,35.8666666666667,NA,-0.56150061816243
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A48",46,19955612,2.30511597439357e-06,18,6913446,2.60362198533119e-06,-2.98506010937625e-07,"MD38","MD38-3-mid",48,"22/11/2022",261,6.6,1.95,0.3,NA,"AB048","POW13003A48",NA,NA,"y","N. magnus","N. magnus",7008.549954868,8,"MD38-3",3487.8046192827,37.1,NA,-0.67155860736217
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A4",20,23859046,8.38256483515728e-07,4,6913446,5.78582663406932e-07,2.59673820108796e-07,"MD11","MD11-1-mid",4,"21/11/2022",247,20.9,1.8,0.41,"redo","AB004","POW13003A4","y","top","y","N. magnus","N. magnus",11744.0457111458,3,"MD11-1",12694.1223775335,31.1,7.66,-0.956903999431923
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A50",18,21374670,8.42118264281975e-07,6,6913446,8.67873995110398e-07,-2.57557308284231e-08,"MD38","MD38-5-top",50,"22/11/2022",270,24.3,1.71,0.49,NA,"AB050","POW13003A50",NA,NA,"y","N. magnus","N. magnus",7008.549954868,8,"MD38-5",10061.2912154696,35.4666666666667,NA,-0.956152774550682
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A51",155,24760953,6.25985599181098e-06,39,6913446,5.64118096821759e-06,6.18675023593391e-07,"MD39","MD39-1-mid",51,"22/11/2022",242,14.3,2.03,0.16,NA,"AB051","POW13003A51","y","top","y","N. magnus","N. magnus",23175.2687862849,1,"MD39-1",7790.29013208934,28.2666666666667,NA,0.0977494605350376
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A52",275,25217248,1.09052343856078e-05,89,6913446,1.28734642608042e-05,-1.96822987519642e-06,"MD39","MD39-2-low",52,"22/11/2022",267,34.2,1.96,1.35,NA,"AB052","POW13003A52","y","top","y","N. magnus","N. magnus",23175.2687862849,1,"MD39-2",6956.56022244341,27.6666666666667,NA,1.00140610067925
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A54",310,26161839,1.18493199197503e-05,101,6913446,1.4609212251025e-05,-2.75989233127474e-06,"MD39","MD39-4-low",54,"22/11/2022",243,33.3,1.83,0.63,NA,"AB054","POW13003A54","y","top","y","N. magnus","N. magnus",23175.2687862849,1,"MD39-4",1587.52783172274,26.8333333333333,NA,1.18505726738101
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A55",55,25132654,2.18838806279671e-06,17,6913446,2.45897631947946e-06,-2.7058825668275e-07,"MD39","MD39-5-top",55,"22/11/2022",235,50.5,1.97,1.01,NA,"AB055","POW13003A55",NA,NA,"y","N. magnus","N. magnus",23175.2687862849,1,"MD39-5",24762.7966180076,26.6,NA,-0.694265466408469
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A56",19,10708933,1.77421970984411e-06,9,6913446,1.3018109926656e-06,4.72408717178512e-07,"MD4","MD4-1-mid",56,"22/11/2022",233,30.9,1.96,1.27,NA,"AB056","POW13003A56",NA,NA,"y","N. magnus","N. magnus",12947.5400318619,2,"MD4-1",2986.40046473061,32.6666666666667,NA,-0.774832849849822
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A57",30,8302521,3.61336032754389e-06,21,6913446,3.03755898288639e-06,5.75801344657494e-07,"MD4","MD4-2-low",57,"22/11/2022",269,41.6,1.96,1.23,NA,"AB057","POW13003A57","y","top","y","N. magnus","N. magnus",12947.5400318619,2,"MD4-2",5415.99593957793,30.0333333333333,NA,-0.417068316919071
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A58",24,24492846,9.79877961099335e-07,5,6913446,7.23228329258665e-07,2.5664963184067e-07,"MD4","MD4-3-mid",58,"22/11/2022",274,43.4,1.96,1.37,NA,"AB058","POW13003A58",NA,NA,"y","N. magnus","N. magnus",12947.5400318619,2,"MD4-3",15933.9404965925,30.4333333333333,NA,-0.929354642252246
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A59",31,16572226,1.87059964062764e-06,8,6913446,1.15716532681386e-06,7.13434313813774e-07,"MD4","MD4-4-low",59,"22/11/2022",265,32.7,1.94,0.49,NA,"AB059","POW13003A59","y","top","y","N. magnus","N. magnus",12947.5400318619,2,"MD4-4",7490.38894751706,30.9666666666667,NA,-0.756084244882469
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A5",19,16124655,1.17831978420624e-06,4,6913446,5.78582663406932e-07,5.99737120799304e-07,"MD11","MD11-2-low",5,"21/11/2022",261,68.1,1.94,0.49,NA,"AB005","POW13003A5",NA,NA,"y","N. magnus","N. magnus",11744.0457111458,3,"MD11-2",3038.66688441661,30.0333333333333,16.19,-0.890752131125848
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A60",9,20073630,4.48349401677723e-07,NA,6913446,NA,NA,"MD4","MD4-5-top",60,"22/11/2022",247,38.7,1.83,0.9,NA,"AB060","POW13003A60","y","top","y","N. magnus","N. magnus",12947.5400318619,2,"MD4-5",13464.9539261025,31,NA,-1.03275188386103
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A61",49,22615543,2.16665149273665e-06,12,6913446,1.7357479902208e-06,4.30903502515859e-07,"MD42","MD42-1-mid",61,"22/11/2022",257,81.5,1.95,0.68,NA,"AB061","POW13003A61","y","bottom",NA,"A. laurensis","A. laurensis",984.65402862995,8,"MD42-1",1451.89117357374,34.1,8.57,-0.698493840117478
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A62",40,24402606,1.63916919365087e-06,12,6913446,1.7357479902208e-06,-9.6578796569921e-08,"MD42","MD42-2-low",62,"22/11/2022",265,84.7,1.94,1.51,NA,"AB062","POW13003A62","y","bottom",NA,"A. laurensis","A. laurensis",984.65402862995,8,"MD42-2",1945.25715828176,35.7,7.83,-0.801103970384564
