"","sequencing_id","pathway","resampled_reads"
"173","A1","Glycosphingolipid biosynthesis - lacto and neolacto series",60
"174","A1","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",300
"175","A1","Glyoxylate and dicarboxylate metabolism",136177
"176","A1","GnRH signaling pathway",1099
"177","A1","Growth hormone synthesis, secretion and action",1
"178","A1","HIF-1 signaling pathway",16170
"179","A1","Hedgehog signaling pathway",2
"180","A1","Hedgehog signaling pathway - fly",58
"181","A1","Hepatitis B",1364
"182","A1","Hepatitis C",1399
"183","A1","Hepatocellular carcinoma",8184
"184","A1","Herpes simplex virus 1 infection",1495
"185","A1","Hippo signaling pathway",58
"186","A1","Hippo signaling pathway - fly",41
"187","A1","Hippo signaling pathway - multiple species",19
"188","A1","Histidine metabolism",41780
"189","A1","Homologous recombination",68661
"190","A1","Human T-cell leukemia virus 1 infection",573
"191","A1","Human cytomegalovirus infection",1258
"192","A1","Human immunodeficiency virus 1 infection",1400
"193","A1","Human papillomavirus infection",4909
"194","A1","Huntington disease",10712
"195","A1","Hypertrophic cardiomyopathy",350
"196","A1","IL-17 signaling pathway",2256
"197","A1","Indole alkaloid biosynthesis",1972
"198","A1","Inflammatory mediator regulation of TRP channels",20
"199","A1","Influenza A",1543
"200","A1","Inositol phosphate metabolism",43808
"201","A1","Insect hormone biosynthesis",2616
"202","A1","Insulin resistance",21000
"203","A1","Insulin signaling pathway",13800
"204","A1","Isoquinoline alkaloid biosynthesis",7871
"205","A1","Kaposi sarcoma-associated herpesvirus infection",1311
"206","A1","Legionellosis",19454
"207","A1","Leishmaniasis",42
"208","A1","Limonene degradation",11474
"209","A1","Linoleic acid metabolism",70
"210","A1","Lipid and atherosclerosis",15131
"211","A1","Lipoarabinomannan (LAM) biosynthesis",18729
"212","A1","Lipoic acid metabolism",46747
"213","A1","Lipopolysaccharide biosynthesis",19601
"214","A1","Long-term depression",13
"215","A1","Long-term potentiation",20
"216","A1","Longevity regulating pathway",8913
"217","A1","Longevity regulating pathway - multiple species",21166
"218","A1","Longevity regulating pathway - worm",41361
"219","A1","Lysine biosynthesis",43051
"220","A1","Lysine degradation",30786
"221","A1","Lysosome",18839
"222","A1","MAPK signaling pathway",12
"223","A1","MAPK signaling pathway - fly",2755
"224","A1","MAPK signaling pathway - plant",11080
"225","A1","MAPK signaling pathway - yeast",6594
"226","A1","Mannose type O-glycan biosynthesis",1799
"227","A1","Measles",1486
"228","A1","Meiosis - yeast",7307
"229","A1","Melanogenesis",321
"230","A1","Metabolism of xenobiotics by cytochrome P450",11506
"231","A1","Methane metabolism",95050
"232","A1","MicroRNAs in cancer",4677
"233","A1","Mineral absorption",3844
"234","A1","Mismatch repair",57703
"235","A1","Mitophagy - animal",1604
"236","A1","Mitophagy - yeast",310
"237","A1","Monobactam biosynthesis",25450
"238","A1","Morphine addiction",12
"239","A1","Motor proteins",181
"240","A1","Mucin type O-glycan biosynthesis",17
"241","A1","Mycolic acid biosynthesis",20264
"242","A1","N-Glycan biosynthesis",4388
"243","A1","NF-kappa B signaling pathway",136
"244","A1","NOD-like receptor signaling pathway",8553
"245","A1","Naphthalene degradation",2959
"246","A1","Natural killer cell mediated cytotoxicity",3
"247","A1","Necroptosis",25498
"248","A1","Neomycin, kanamycin and gentamicin biosynthesis",5014
"249","A1","Neuroactive ligand-receptor interaction",400
"250","A1","Neurotrophin signaling pathway",37
"251","A1","Neutrophil extracellular trap formation",513
"252","A1","Nicotinate and nicotinamide metabolism",57476
"253","A1","Nitrogen metabolism",65166
"254","A1","Nitrotoluene degradation",4100
"255","A1","Non-alcoholic fatty liver disease",4701
"256","A1","Non-homologous end-joining",27142
"257","A1","Non-small cell lung cancer",91
"258","A1","Nonribosomal peptide structures",2644
"259","A1","Notch signaling pathway",15
"260","A1","Novobiocin biosynthesis",10483
"261","A1","Nucleocytoplasmic transport",783
"262","A1","Nucleotide excision repair",56277
"263","A1","O-Antigen nucleotide sugar biosynthesis",53669
"264","A1","O-Antigen repeat unit biosynthesis",2763
"265","A1","Olfactory transduction",1
"266","A1","One carbon pool by folate",42225
"267","A1","Oocyte meiosis",175
"268","A1","Osteoclast differentiation",193
"269","A1","Other carbon fixation pathways",85776
"270","A1","Other glycan degradation",17100
"271","A1","Other types of O-glycan biosynthesis",3130
"272","A1","Ovarian steroidogenesis",1
"273","A1","Oxidative phosphorylation",155072
"274","A1","Oxytocin signaling pathway",42
"275","A1","PD-L1 expression and PD-1 checkpoint pathway in cancer",139
"276","A1","PI3K-Akt signaling pathway",7003
"277","A1","PPAR signaling pathway",41722
"278","A1","Pancreatic cancer",1109
"279","A1","Pancreatic secretion",320
"280","A1","Pantothenate and CoA biosynthesis",53915
"281","A1","Parathyroid hormone synthesis, secretion and action",1174
"282","A1","Parkinson disease",11477
"283","A1","Pathogenic Escherichia coli infection",5035
"284","A1","Pathways in cancer",15790
"285","A1","Pathways of neurodegeneration - multiple diseases",16335
"286","A1","Penicillin and cephalosporin biosynthesis",8928
"287","A1","Pentose and glucuronate interconversions",34037
"288","A1","Pentose phosphate pathway",89914
"289","A1","Peptidoglycan biosynthesis",67648
"290","A1","Peroxisome",43622
"291","A1","Pertussis",1230
"292","A1","Phagosome",199
"293","A1","Phenazine biosynthesis",9786
"294","A1","Phenylalanine metabolism",74457
"295","A1","Phenylalanine, tyrosine and tryptophan biosynthesis",57522
"296","A1","Phenylpropanoid biosynthesis",9316
"297","A1","Phosphatidylinositol signaling system",7137
"298","A1","Phospholipase D signaling pathway",1116
"299","A1","Phosphonate and phosphinate metabolism",6354
"300","A1","Phosphotransferase system (PTS)",2913
"301","A1","Photosynthesis",27486
"302","A1","Photosynthesis - antenna proteins",11
"303","A1","Phototransduction",2
"304","A1","Phototransduction - fly",11
"305","A1","Pinene, camphor and geraniol degradation",12068
"306","A1","Plant hormone signal transduction",16343
"307","A1","Plant-pathogen interaction",13150
"308","A1","Platelet activation",12
"309","A1","Platinum drug resistance",12280
"310","A1","Polycomb repressive complex",1483
"311","A1","Polycyclic aromatic hydrocarbon degradation",14434
"312","A1","Polyketide sugar unit biosynthesis",12624
"313","A1","Porphyrin metabolism",85694
"314","A1","Primary bile acid biosynthesis",3239
"315","A1","Primary immunodeficiency",1867
"316","A1","Prion disease",6233
"317","A1","Prodigiosin biosynthesis",23821
"318","A1","Progesterone-mediated oocyte maturation",2306
"319","A1","Prolactin signaling pathway",2669
"320","A1","Propanoate metabolism",68803
"321","A1","Prostate cancer",2224
"322","A1","Proteasome",4512
"323","A1","Protein digestion and absorption",525
"324","A1","Protein export",68245
"325","A1","Protein processing in endoplasmic reticulum",10050
"326","A1","Proteoglycans in cancer",2235
"327","A1","Proximal tubule bicarbonate reclamation",5871
"328","A1","Purine metabolism",163799
"329","A1","Pyrimidine metabolism",79454
"330","A1","Pyruvate metabolism",122355
"331","A1","Quorum sensing",282011
"332","A1","RIG-I-like receptor signaling pathway",150
"333","A1","RNA degradation",53251
"334","A1","RNA polymerase",17359
"335","A1","Rap1 signaling pathway",10
"336","A1","Ras signaling pathway",1142
"337","A1","Regulation of actin cytoskeleton",133
"338","A1","Regulation of lipolysis in adipocytes",522
"339","A1","Renal cell carcinoma",3022
"340","A1","Renin secretion",275
"341","A1","Renin-angiotensin system",2734
"342","A1","Retinol metabolism",2665
"343","A1","Retrograde endocannabinoid signaling",3575
"344","A1","Rheumatoid arthritis",270
"345","A1","Riboflavin metabolism",26914
"346","A1","Ribosome",96056
"347","A1","Ribosome biogenesis in eukaryotes",5133
"348","A1","SNARE interactions in vesicular transport",401
"349","A1","Salivary secretion",277
"350","A1","Salmonella infection",13478
"351","A1","Secondary bile acid biosynthesis",1182
"352","A1","Selenocompound metabolism",68087
"353","A1","Serotonergic synapse",3555
"354","A1","Sesquiterpenoid and triterpenoid biosynthesis",3968
"355","A1","Shigellosis",4258
"356","A1","Small cell lung cancer",1368
"357","A1","Sphingolipid metabolism",21302
"358","A1","Sphingolipid signaling pathway",1871
"359","A1","Spinocerebellar ataxia",1864
"360","A1","Spliceosome",1075
"361","A1","Staphylococcus aureus infection",628
"362","A1","Starch and sucrose metabolism",126252
"363","A1","Staurosporine biosynthesis",1013
"364","A1","Steroid biosynthesis",1483
"365","A1","Steroid degradation",15124
"366","A1","Steroid hormone biosynthesis",1430
"367","A1","Streptomycin biosynthesis",24133
"368","A1","Styrene degradation",36832
"369","A1","Sulfur metabolism",63610
"370","A1","Sulfur relay system",33980
"371","A1","Synaptic vesicle cycle",167
"372","A1","Systemic lupus erythematosus",733
"373","A1","T cell receptor signaling pathway",69
"374","A1","TGF-beta signaling pathway",113
"375","A1","TNF signaling pathway",1
"376","A1","Taurine and hypotaurine metabolism",26521
"377","A1","Teichoic acid biosynthesis",25618
"378","A1","Terpenoid backbone biosynthesis",40723
"379","A1","Tetracycline biosynthesis",1205
"380","A1","Th1 and Th2 cell differentiation",7
"381","A1","Th17 cell differentiation",2319
"382","A1","Thermogenesis",22112
"383","A1","Thiamine metabolism",30242
"384","A1","Thyroid cancer",25
"385","A1","Thyroid hormone signaling pathway",18593
"386","A1","Thyroid hormone synthesis",1887
"387","A1","Tight junction",268
"388","A1","Toll and Imd signaling pathway",1491
"389","A1","Toluene degradation",16759
"390","A1","Toxoplasmosis",1268
"391","A1","Transcriptional misregulation in cancer",150
"392","A1","Tropane, piperidine and pyridine alkaloid biosynthesis",10011
"393","A1","Tryptophan metabolism",64602
"394","A1","Tuberculosis",35057
"395","A1","Two-component system",255689
"396","A1","Type I diabetes mellitus",10865
"397","A1","Type I polyketide structures",110
"398","A1","Type II diabetes mellitus",4699
"399","A1","Tyrosine metabolism",45353
"400","A1","Ubiquinone and other terpenoid-quinone biosynthesis",34487
"401","A1","Ubiquitin mediated proteolysis",301
"402","A1","VEGF signaling pathway",14
"403","A1","Valine, leucine and isoleucine biosynthesis",40381
"404","A1","Valine, leucine and isoleucine degradation",84493
"405","A1","Vancomycin resistance",28041
"406","A1","Various types of N-glycan biosynthesis",4065
"407","A1","Vascular smooth muscle contraction",42
"408","A1","Vasopressin-regulated water reabsorption",45
"409","A1","Vibrio cholerae infection",187
"410","A1","Viral carcinogenesis",5429
"411","A1","Viral life cycle - HIV-1",255
"412","A1","Viral myocarditis",1345
"413","A1","Virion - Bacteriophages T4 and T7",3
"414","A1","Virion - Hepatitis viruses",543
"415","A1","Virion - Orthopoxvirus",6
"416","A1","Vitamin B6 metabolism",26945
"417","A1","Wnt signaling pathway",303
"418","A1","Xylene degradation",10913
"419","A1","Yersinia infection",96
"420","A1","Zeatin biosynthesis",2996
"421","A1","alpha-Linolenic acid metabolism",6099
"422","A1","beta-Alanine metabolism",28164
"423","A1","beta-Lactam resistance",33393
"424","A1","cAMP signaling pathway",3268
"425","A1","cGMP-PKG signaling pathway",91
"426","A1","mRNA surveillance pathway",671
"427","A1","mTOR signaling pathway",414
"428","A1","p53 signaling pathway",1498
"429","A10","ABC transporters",300989
"430","A10","AMPK signaling pathway",10394
"431","A10","ATP-dependent chromatin remodeling",579
"432","A10","Acarbose and validamycin biosynthesis",5322
"433","A10","Acute myeloid leukemia",1
"434","A10","Adherens junction",221
"435","A10","Adipocytokine signaling pathway",9941
"436","A10","Adrenergic signaling in cardiomyocytes",85
"437","A10","Aflatoxin biosynthesis",1
"438","A10","African trypanosomiasis",3356
"439","A10","Alanine, aspartate and glutamate metabolism",96631
"440","A10","Alcoholic liver disease",16012
"441","A10","Alcoholism",3350
"442","A10","Aldosterone synthesis and secretion",115
"443","A10","Alzheimer disease",16152
"444","A10","Amino sugar and nucleotide sugar metabolism",122276
"445","A10","Aminoacyl-tRNA biosynthesis",119811
"446","A10","Aminobenzoate degradation",40787
"447","A10","Amoebiasis",799
"448","A10","Amphetamine addiction",2999
"449","A10","Amyotrophic lateral sclerosis",16642
"450","A10","Antifolate resistance",12827
"451","A10","Antigen processing and presentation",2308
"452","A10","Apelin signaling pathway",123
"453","A10","Apoptosis",2571
"454","A10","Apoptosis - fly",3122
"455","A10","Apoptosis - multiple species",2232
"456","A10","Arabinogalactan biosynthesis - Mycobacterium",13109
"457","A10","Arachidonic acid metabolism",257
"458","A10","Arginine and proline metabolism",67203
"459","A10","Arginine biosynthesis",71865
"460","A10","Arrhythmogenic right ventricular cardiomyopathy",38
"461","A10","Ascorbate and aldarate metabolism",21664
"462","A10","Atrazine degradation",5860
"463","A10","Autophagy - animal",614
"464","A10","Autophagy - other",352
"465","A10","Autophagy - yeast",2327
"466","A10","Axon guidance",33
"467","A10","Axon regeneration",1991
"468","A10","B cell receptor signaling pathway",2
"469","A10","Bacterial chemotaxis",36745
"470","A10","Bacterial invasion of epithelial cells",200
"471","A10","Bacterial secretion system",73770
"472","A10","Basal cell carcinoma",69
"473","A10","Basal transcription factors",1532
"474","A10","Base excision repair",59893
"475","A10","Benzoate degradation",73909
"476","A10","Betalain biosynthesis",3386
"477","A10","Bile secretion",736
"478","A10","Biofilm formation - Escherichia coli",36371
"479","A10","Biofilm formation - Pseudomonas aeruginosa",32849
"480","A10","Biofilm formation - Vibrio cholerae",23538
"481","A10","Biosynthesis of 12-, 14- and 16-membered macrolides",135
"482","A10","Biosynthesis of ansamycins",10042
"483","A10","Biosynthesis of enediyne antibiotics",11450
"484","A10","Biosynthesis of siderophore group nonribosomal peptides",3608
"485","A10","Biosynthesis of type II polyketide backbone",398
"486","A10","Biosynthesis of type II polyketide products",4358
"487","A10","Biosynthesis of unsaturated fatty acids",11987
"488","A10","Biosynthesis of vancomycin group antibiotics",3189
"489","A10","Biosynthesis of various alkaloids",702
"490","A10","Biosynthesis of various antibiotics",6319
"491","A10","Biosynthesis of various other secondary metabolites",111
"492","A10","Biosynthesis of various plant secondary metabolites",19979
"493","A10","Biotin metabolism",31510
"494","A10","Bisphenol degradation",803
"495","A10","Bladder cancer",407
"496","A10","Breast cancer",53
"497","A10","Butanoate metabolism",73298
"498","A10","C-type lectin receptor signaling pathway",5
"499","A10","C5-Branched dibasic acid metabolism",25644
"500","A10","Caffeine metabolism",1378
"501","A10","Calcium signaling pathway",107
"502","A10","Caprolactam degradation",19967
"503","A10","Carbapenem biosynthesis",3156
"504","A10","Carbohydrate digestion and absorption",215
"505","A10","Carbon fixation by Calvin cycle",58633
"506","A10","Cardiac muscle contraction",4746
"507","A10","Carotenoid biosynthesis",5580
"508","A10","Cationic antimicrobial peptide (CAMP) resistance",20635
"509","A10","Cell cycle",858
"510","A10","Cell cycle - Caulobacter",60526
"511","A10","Cell cycle - yeast",1245
"512","A10","Cellular senescence",83
"513","A10","Central carbon metabolism in cancer",18565
"514","A10","Chagas disease",3644
"515","A10","Chemical carcinogenesis - DNA adducts",12605
"516","A10","Chemical carcinogenesis - reactive oxygen species",33331
"517","A10","Chemical carcinogenesis - receptor activation",15183
"518","A10","Chloroalkane and chloroalkene degradation",13434
"519","A10","Chlorocyclohexane and chlorobenzene degradation",26382
"520","A10","Cholesterol metabolism",1095
"521","A10","Choline metabolism in cancer",866
"522","A10","Chronic myeloid leukemia",69
"523","A10","Circadian rhythm",48
"524","A10","Circadian rhythm - fly",1
"525","A10","Circadian rhythm - plant",135
"526","A10","Citrate cycle (TCA cycle)",59169
"527","A10","Cobalamin transport and metabolism",15576
"528","A10","Cocaine addiction",2833
"529","A10","Collecting duct acid secretion",151
"530","A10","Colorectal cancer",2195
"531","A10","Coronavirus disease - COVID-19",2662
"532","A10","Cortisol synthesis and secretion",1
"533","A10","Cushing syndrome",2445
"534","A10","Cutin, suberine and wax biosynthesis",1111
"535","A10","Cyanoamino acid metabolism",24815
"536","A10","Cysteine and methionine metabolism",115760
"537","A10","Cytoskeleton in muscle cells",7397
"538","A10","Cytosolic DNA-sensing pathway",178
"539","A10","D-Amino acid metabolism",37151
"540","A10","DNA replication",61359
"541","A10","Degradation of flavonoids",19513
"542","A10","Diabetic cardiomyopathy",30439
"543","A10","Dilated cardiomyopathy",41
"544","A10","Dioxin degradation",5156
"545","A10","Dopaminergic synapse",3346
"546","A10","Dorso-ventral axis formation",406
"547","A10","Drug metabolism - cytochrome P450",17233
"548","A10","Drug metabolism - other enzymes",44561
"549","A10","ECM-receptor interaction",4
"550","A10","EGFR tyrosine kinase inhibitor resistance",69
"551","A10","Efferocytosis",4160
"552","A10","Endocrine and other factor-regulated calcium reabsorption",33
"553","A10","Endocrine resistance",38
"554","A10","Endocytosis",1132
"555","A10","Endometrial cancer",59
"556","A10","Epithelial cell signaling in Helicobacter pylori infection",1802
"557","A10","Epstein-Barr virus infection",2762
"558","A10","Estrogen signaling pathway",2258
"559","A10","Ether lipid metabolism",29109
"560","A10","Ethylbenzene degradation",2207
"561","A10","Exopolysaccharide biosynthesis",18627
"562","A10","Fanconi anemia pathway",391
"563","A10","Fat digestion and absorption",2928
"564","A10","Fatty acid biosynthesis",42790
"565","A10","Fatty acid degradation",36496
"566","A10","Fatty acid elongation",307
"567","A10","Fc epsilon RI signaling pathway",53
"568","A10","Fc gamma R-mediated phagocytosis",909
"569","A10","Ferroptosis",7860
"570","A10","Flagellar assembly",42532
"571","A10","Flavone and flavonol biosynthesis",24
"572","A10","Fluid shear stress and atherosclerosis",23313
"573","A10","Fluorobenzoate degradation",12668
"574","A10","Focal adhesion",65
"575","A10","Folate biosynthesis",72259
"576","A10","FoxO signaling pathway",10037
"577","A10","Fructose and mannose metabolism",52979
"578","A10","Furfural degradation",1032
"579","A10","GABAergic synapse",16126
"580","A10","Galactose metabolism",45132
"581","A10","Gastric acid secretion",46
"582","A10","Gastric cancer",319
"583","A10","Glioma",82
"584","A10","Glucagon signaling pathway",19263
"585","A10","Glucosinolate biosynthesis",7280
"586","A10","Glutamatergic synapse",15114
"587","A10","Glutathione metabolism",55767
"588","A10","Glycerolipid metabolism",57038
"589","A10","Glycerophospholipid metabolism",79087
"590","A10","Glycine, serine and threonine metabolism",99257
"591","A10","Glycolysis / Gluconeogenesis",106771
"592","A10","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1
"593","A10","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",192
"594","A10","Glycosaminoglycan degradation",10234
"595","A10","Glycosphingolipid biosynthesis - ganglio series",3874
"596","A10","Glycosphingolipid biosynthesis - globo and isoglobo series",11232
"597","A10","Glycosphingolipid biosynthesis - lacto and neolacto series",27
"598","A10","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",521
"599","A10","Glyoxylate and dicarboxylate metabolism",116784
"600","A10","GnRH signaling pathway",772
"601","A10","Growth hormone synthesis, secretion and action",1
"602","A10","HIF-1 signaling pathway",19185
"603","A10","Hedgehog signaling pathway",36
"604","A10","Hedgehog signaling pathway - fly",44
"605","A10","Hepatitis B",2386
"606","A10","Hepatitis C",2320
"607","A10","Hepatocellular carcinoma",13190
"608","A10","Herpes simplex virus 1 infection",2386
"609","A10","Hippo signaling pathway",119
"610","A10","Hippo signaling pathway - fly",143
"611","A10","Hippo signaling pathway - multiple species",93
"612","A10","Histidine metabolism",42114
"613","A10","Homologous recombination",72280
"614","A10","Human T-cell leukemia virus 1 infection",1563
"615","A10","Human cytomegalovirus infection",2161
"616","A10","Human immunodeficiency virus 1 infection",2211
"617","A10","Human papillomavirus infection",4186
"618","A10","Huntington disease",15675
"619","A10","Hypertrophic cardiomyopathy",671
"620","A10","IL-17 signaling pathway",2228
"621","A10","Indole alkaloid biosynthesis",2049
"622","A10","Inflammatory mediator regulation of TRP channels",58
"623","A10","Influenza A",2307
"624","A10","Inositol phosphate metabolism",54216
"625","A10","Insect hormone biosynthesis",1399
"626","A10","Insulin resistance",21633
"627","A10","Insulin signaling pathway",13731
"628","A10","Isoquinoline alkaloid biosynthesis",6291
"629","A10","JAK-STAT signaling pathway",1
"630","A10","Kaposi sarcoma-associated herpesvirus infection",2260
"631","A10","Legionellosis",16353
"632","A10","Leishmaniasis",12
"633","A10","Leukocyte transendothelial migration",62
"634","A10","Limonene degradation",9556
"635","A10","Linoleic acid metabolism",276
"636","A10","Lipid and atherosclerosis",14485
"637","A10","Lipoarabinomannan (LAM) biosynthesis",16008
"638","A10","Lipoic acid metabolism",42962
"639","A10","Lipopolysaccharide biosynthesis",26528
"640","A10","Long-term depression",100
"641","A10","Long-term potentiation",2
"642","A10","Longevity regulating pathway",5703
