sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes,fieldnotes
MD37,m,low,14:41:10,8/7/2023,2,29.8,29.4,28.9,,f0005,E,sm,47.78,,,
MD37,m,mid,14:44:05,8/7/2023,3,27.7,27.7,27.8,,f0005,S,sm,47.78,,,
MD37,m,low,14:47:00,8/7/2023,4,28.1,28.3,28.5,,f0005,W,sm,47.78,,,
MD25,m,mid,15:21:00,8/7/2023,1,28.7,28,28,,f0006,W,med,83.32,,Extender,mixed up directions so they are not the normal configuration with low/high
MD25,m,low,15:23:45,8/7/2023,2,27.9,28.2,28.3,,f0006,N,med,83.32,,Extender,
MD25,m,mid,15:26:30,8/7/2023,3,27.8,27.6,28.1,,f0006,E,med,83.32,,Extender,
MD25,m,low,15:27:35,8/7/2023,4,32.4,31.2,31.4,,f0006,S,med,83.32,,Extender,
MD25,m,top,15:32:30,8/7/2023,5,30.3,29.2,29.3,,f0006,,med,83.32,,Extender,
MD26,m,mid,15:43:00,8/7/2023,1,30,28.9,29.1,,f0007,W,med,83.32,,Extender,mixed up directions so they are not the normal configuration with low/high
MD26,m,low,15:46:10,8/7/2023,2,28.7,29.5,29.7,,f0007,N,med,83.32,,Extender,
MD26,m,mid,15:49:10,8/7/2023,3,29.7,30.2,31,,f0007,E,med,83.32,,Extender,
MD26,m,low,15:52:00,8/7/2023,4,27.2,26.5,26.3,,f0007,S,med,83.32,,Extender,
MD26,m,top,15:55:00,8/7/2023,5,28.5,29.3,29.5,,f0007,,med,83.32,,Extender,
MD58,m,mid,16:24:45,8/7/2023,1,27.5,28,28.5,,f0008,N,med,83.32,,Extender,
MD58,m,low,16:27:40,8/7/2023,2,26.3,26.1,26.3,,f0008,E,med,83.32,,Extender,
MD58,m,mid,16:31:00,8/7/2023,3,26.5,26.2,26.1,,f0008,S,med,83.32,,Extender,
MD58,m,low,16:33:40,8/7/2023,4,26.8,27.4,27.6,,f0008,W,med,83.32,,Extender,
MD58,m,top,16:36:20,8/7/2023,5,27.2,27.6,27.9,,f0008,,med,83.32,,Extender,
MD55,m,mid,8:10:20,8/8/2023,1,19.6,19.7,20,,f0000,N,med,83.32,,Extender,
MD55,m,low,8:13:25,8/8/2023,2,22.1,21.7,21.7,,f0000,E,med,83.32,,Extender,
MD55,m,mid,8:16:15,8/8/2023,3,21.5,22.6,23.3,,f0000,S,med,83.32,,Extender,
MD55,m,low,8:19:00,8/8/2023,4,21.6,21.5,21.8,,f0000,W,med,83.32,,Extender,looks like old mound material
MD55,m,top,8:22:55,8/8/2023,5,22,22.5,23,,f0000,,med,83.32,,Extender,use last 3 minute temps
MD56,m,mid,8:47:40,8/8/2023,1,22.3,22.4,22.7,,f0001,N,med,83.32,,Extender,dead mound 
MD56,m,low,8:50:45,8/8/2023,2,21.3,22.3,22.6,,f0001,E,med,83.32,,Extender,dead mound 
MD27,m,mid,9:23:20,8/8/2023,1,24.3,21.7,21.2,,f0002,N,med,83.32,,Extender,
MD27,m,low,9:26:10,8/8/2023,2,21.5,21.6,22,,f0002,E,med,83.32,,Extender,
MD27,m,mid,9:28:55,8/8/2023,3,24,26.3,25.5,,f0002,S,med,83.32,,Extender,
MD27,m,low,9:31:40,8/8/2023,4,25.4,25.8,26.2,,f0002,W,med,83.32,,Extender,
MD27,m,top,9:35:15,8/8/2023,5,23.3,23.8,24.5,,f0002,,med,83.32,,Extender,
MD63,m,mid,9:57:20,8/8/2023,1,25,23.9,24.9,,f0003,N,med,83.32,,Extender,mound might be almost dead? keep in mind for next survey 
MD63,m,low,10:00:00,8/8/2023,2,22.1,23.8,25.4,,f0003,E,med,83.32,,Extender,moss on mound surface related to negative flux?
MD63,m,mid,10:02:50,8/8/2023,3,21.9,21.5,21.5,,f0003,S,med,83.32,,Extender,
MD63,m,low,10:05:35,8/8/2023,4,21.7,21.9,21.9,,f0003,W,med,83.32,,Extender,
MD63,m,top,10:08:35,8/8/2023,5,21.4,21.7,22.1,,f0003,,med,83.32,,Extender,
MD63,s,2,10:11:45,8/8/2023,6,23.8,22.2,21.9,,f0003,N,lg,183.85,,Extender,
MD48,m,mid,10:34:45,8/8/2023,1,22.6,22.1,22.8,,f0004,N,med,83.32,,Extender,
MD48,m,low,10:37:25,8/8/2023,2,21.2,21.9,22.4,,f0004,E,med,83.32,,Extender,
MD48,m,mid,10:41:30,8/8/2023,3,22.2,22.2,22.2,,f0004,S,med,83.32,,Extender,use last 3 minute temps
MD48,m,low,10:44:15,8/8/2023,4,21.5,22.8,23.1,,f0004,W,med,83.32,,Extender,
MD48,m,top,10:47:20,8/8/2023,5,21.9,22.3,22.4,,f0004,,med,83.32,,Extender,
MD48,s,2,10:50:50,8/8/2023,6,25.9,22.2,21.9,,f0004,N,lg,183.85,,Extender,
MD50,m,mid,11:12:40,8/8/2023,1,23.6,23.6,23.6,,f0005,N,med,83.32,,Extender,
MD50,m,low,11:15:25,8/8/2023,2,23.2,23.8,24.2,,f0005,E,med,83.32,,Extender,
MD50,m,mid,11:18:20,8/8/2023,3,25.7,25.4,25.4,,f0005,S,med,83.32,,Extender,
MD50,m,low,11:21:10,8/8/2023,4,25.6,26.3,26.6,,f0005,W,med,83.32,,Extender,
MD50,m,top,11:24:05,8/8/2023,5,25.5,26.2,26.2,,f0005,,med,83.32,,Extender,
MD50,s,2,11:27:15,8/8/2023,6,29.2,29,28.8,,f0005,N,lg,183.85,,Extender,
MD65,m,mid,13:04:45,8/8/2023,1,26.9,27.1,26.9,,f0007,N,med,83.32,,Extender,
MD65,m,low,13:07:30,8/8/2023,2,26.5,26.6,27.1,,f0007,E,med,83.32,,Extender,
MD65,m,mid,13:10:10,8/8/2023,3,27.9,28,27.9,,f0007,S,med,83.32,,Extender,
MD65,m,low,13:12:50,8/8/2023,4,29,30.4,30.5,,f0007,W,med,83.32,,Extender,
MD65,m,top,13:15:40,8/8/2023,5,29.8,31.6,31.8,,f0007,,med,83.32,,Extender,
MD65,s,2,13:19:10,8/8/2023,6,32.2,33.4,32.1,,f0007,N,lg,183.85,,Extender,
MD54,m,mid,13:35:10,8/8/2023,1,30.7,28.5,28.2,,f0008,N,med,83.32,,Extender,
MD54,m,low,13:37:55,8/8/2023,2,26.5,26.6,26.7,,f0008,E,med,83.32,,Extender,
MD54,m,mid,13:40:30,8/8/2023,3,25.8,26.5,26.7,,f0008,S,med,83.32,,Extender,
MD54,m,low,13:43:15,8/8/2023,4,25.9,26.1,26.1,,f0008,W,med,83.32,,Extender,
MD54,s,2,13:46:15,8/8/2023,5,27,26.9,26.8,,f0008,N,lg,183.85,,Extender,
MD61,m,mid,14:03:45,8/8/2023,1,24.5,24,24.2,,f0009,N,med,83.32,,Extender,
MD61,m,low,14:11:40,8/8/2023,2,23.7,23.7,23.9,,f0009,E,med,83.32,,Extender,
MD61,m,mid,14:14:50,8/8/2023,3,23.6,23.8,24,,f0009,S,med,83.32,,Extender,
MD61,m,low,14:17:25,8/8/2023,4,23.9,24.4,24.7,,f0009,W,med,83.32,,Extender,
MD61,m,top,14:20:30,8/8/2023,5,25,25.2,25.5,,f0009,,med,83.32,,Extender,
MD59,m,mid,14:52:50,8/8/2023,1,24.5,25.1,25.4,,f0010,N,med,83.32,,Extender,
MD59,m,low,14:55:20,8/8/2023,2,25.4,25.6,25.7,,f0010,E,med,83.32,,Extender,
MD59,m,mid,14:58:40,8/8/2023,3,26.1,26.1,26.2,,f0010,S,med,83.32,,Extender,
MD59,m,low,15:01:15,8/8/2023,4,26.7,26.2,26.7,,f0010,W,med,83.32,,Extender,
MD59,m,top,15:03:50,8/8/2023,5,27.7,29.8,30.7,,f0010,,med,83.32,,Extender,
MD59,s,2,15:06:20,8/8/2023,6,30.8,30.9,30.9,,f0010,N,lg,183.85,,Extender,
MD52,m,mid,15:30:05,8/8/2023,1,27.8,28.1,28.1,,f0011,N,med,83.32,,Extender,
MD52,m,low,15:32:45,8/8/2023,2,28.1,28.3,28.7,,f0011,E,med,83.32,,Extender,
MD52,m,mid,15:35:20,8/8/2023,3,28.7,28.7,28.7,,f0011,S,med,83.32,,Extender,
MD52,m,low,15:38:40,8/8/2023,4,31.2,31.2,27.3,,f0011,W,med,83.32,,Extender,
MD52,m,top,15:41:45,8/8/2023,5,27.8,28.9,29.6,,f0011,,med,83.32,,Extender,
MD52,s,2,15:44:45,8/8/2023,6,30.3,30.3,30.3,,f0011,N,lg,183.85,,Extender,
MD15,m,mid,8:37:45,8/9/2023,1,19.5,19.5,19.5,,f0000,N,sm,47.78,,,temperature sensor acting up
MD15,m,low,8:41:25,8/9/2023,2,19.1,19.5,20.1,,f0000,E,sm,47.78,,,temperature sensor acting up
MD15,m,mid,8:47:00,8/9/2023,3,24,24,24,,f0000,S,sm,47.78,,,temperature sensor acting up
MD15,m,low,8:50:10,8/9/2023,4,23.6,23.6,23.6,,f0000,W,sm,47.78,,,temperature sensor acting up
MD15,s,2,8:53:10,8/9/2023,5,25.3,23.7,23.4,,f0000,N,lg,183.85,,,temperature sensor acting up
MD32,m,mid,10:02:40,8/9/2023,1,25.4,25.4,25.4,,f0001,N,med,83.32,,Extender,
MD32,m,low,10:05:15,8/9/2023,2,25.2,25.1,25.3,,f0001,E,med,83.32,,Extender,
MD32,m,mid,10:08:00,8/9/2023,3,25.9,26.1,26.8,,f0001,S,med,83.32,,Extender,
MD32,m,low,10:11:05,8/9/2023,4,28,28,28,,f0001,W,med,83.32,,Extender,
MD32,m,top,10:14:05,8/9/2023,5,27.8,27.8,28.2,,f0001,,med,83.32,,Extender,
MD10,m,mid,10:35:10,8/9/2023,1,29.7,29.7,29.7,,f0002,N,sm,47.78,,,
MD10,m,low,10:37:50,8/9/2023,2,27.6,27.7,27.9,,f0002,E,sm,47.78,,,
MD10,m,mid,10:40:30,8/9/2023,3,27.7,27.8,28,,f0002,S,sm,47.78,,,
MD10,m,low,10:43:10,8/9/2023,4,28.2,28.2,28.2,,f0002,W,sm,47.78,,,
MD10,s,2,10:46:00,8/9/2023,5,29.2,29.2,28.2,,f0002,N,lg,183.85,,,
MD11,m,mid,10:53:50,8/9/2023,1,28.3,28.4,28.4,,f0003,N,med,83.32,,Extender,
MD11,m,low,10:56:45,8/9/2023,2,28.4,28.4,28.4,,f0003,E,med,83.32,,Extender,
MD11,m,mid,10:59:45,8/9/2023,3,28.4,28.4,29.4,,f0003,S,med,83.32,,Extender,
MD11,m,low,11:02:50,8/9/2023,4,28.8,28.8,28.8,,f0003,W,med,83.32,,Extender,
MD11,m,top,11:05:30,8/9/2023,5,29.2,29.6,29.6,,f0003,,med,83.32,,Extender,
MD2,m,mid,11:30:20,8/9/2023,1,27.8,27.9,27.9,,f0004,N,med,83.32,,Extender,
MD2,m,low,11:33:40,8/9/2023,2,33,32.5,32.4,,f0004,E,med,83.32,,Extender,
MD2,m,mid,11:36:35,8/9/2023,3,28.9,28.9,29,,f0004,S,med,83.32,,Extender,
MD2,m,low,11:39:25,8/9/2023,4,28.4,28.4,28.3,,f0004,W,med,83.32,,Extender,
MD2,m,top,11:42:30,8/9/2023,5,28.1,28.1,28.1,,f0004,,med,83.32,,Extender,
MD35,m,mid,13:38:25,8/9/2023,1,25.9,26.1,26.1,,f0005,N,med,83.32,,Extender,"mound coords way off - MD35REDO, also mound health in question"
MD35,m,low,13:41:00,8/9/2023,2,26.1,26.1,26.1,,f0005,E,med,83.32,,Extender,
MD35,m,mid,13:43:55,8/9/2023,3,26.2,26.7,26.8,,f0005,S,med,83.32,,Extender,
MD35,m,low,13:46:35,8/9/2023,4,26.8,26.8,26.8,,f0005,W,med,83.32,,Extender,moss on surface
MD35,m,top,13:49:40,8/9/2023,5,28,27.7,27.6,,f0005,,med,83.32,,Extender,
