sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes
MD2,m,mid,15:39:50,11/14/2022,3,41.7,44.3,43.9,,f0005,S,med,83.32,,
MD2,m,low,15:42:20,11/14/2022,4,42.4,42.6,42,,f0005,W,med,83.32,,
MD2,m,top,15:47:10,11/14/2022,5,41.8,41.8,41.4,,f0005,,med,83.32,,
MD2,s,2,15:49:50,11/14/2022,6,45.7,48.5,47.7,,f0005,N,lg,183.85,,
MD36,m,mid,08:36:45,11/15/2022,1,31.8,30,29.8,,f0000,N,sm,47.78,,
MD36,m,low,08:39:20,11/15/2022,2,30.4,30.8,30.8,,f0000,E,sm,47.78,,
MD36,m,mid,08:41:55,11/15/2022,3,30.4,30.3,30.6,,f0000,S,sm,47.78,,
MD36,m,low,08:44:45,11/15/2022,4,31,31,31.2,,f0000,W,sm,47.78,,
MD36,s,2,08:47:45,11/15/2022,5,40.6,40,39.1,,f0000,N,lg,183.85,,
MD21,m,mid,09:13:40,11/15/2022,1,37.6,35.8,34.9,,f0001,N,sm,47.78,,
MD21,m,low,09:16:20,11/15/2022,2,36,38.1,38.5,,f0001,E,sm,47.78,,
MD21,m,mid,09:18:55,11/15/2022,3,36.3,37.6,37.9,,f0001,S,sm,47.78,,
MD21,m,low,09:21:35,11/15/2022,4,35.7,35,35.1,,f0001,W,sm,47.78,,
MD21,s,2,09:24:30,11/15/2022,5,44.2,46.2,46.2,,f0001,N,lg,183.85,,
MD24,m,mid,09:36:40,11/15/2022,1,39.3,38.4,38.2,,f0002,N,sm,47.78,,
MD24,m,low,09:39:25,11/15/2022,2,37.1,38.5,38.4,,f0002,E,sm,47.78,,
MD24,m,mid,09:42:00,11/15/2022,3,37.5,36.6,36.2,,f0002,S,sm,47.78,,
MD24,m,low,09:44:50,11/15/2022,4,36.5,36.5,36.5,,f0002,W,sm,47.78,,
MD24,s,2,09:48:00,11/15/2022,5,42.8,43.6,43.8,,f0002,N,lg,183.85,,
MD25,m,mid,10:24:30,11/15/2022,1,44.7,43.5,45.5,,f0003,N,med,83.32,,Extender
MD25,m,low,10:27:15,11/15/2022,2,43.7,45.2,45.5,,f0003,E,med,83.32,,Extender
MD25,m,mid,10:30:00,11/15/2022,3,43.4,45.5,44.6,,f0003,S,med,83.32,,Extender
MD25,m,low,10:32:30,11/15/2022,4,42.8,45.6,45.4,,f0003,W,med,83.32,,Extender
MD25,m,top,10:35:20,11/15/2022,5,42.2,44,44.6,,f0003,,med,83.32,,Extender
MD25,s,2,10:40:00,11/15/2022,6,51.6,50,50,,f0003,N,lg,183.85,,Extender
MD26,m,mid,10:58:00,11/15/2022,1,59.1,57.9,57.6,,f0004,N,med,83.32,,Extender
MD26,m,low,11:00:40,11/15/2022,2,56.3,55,54.3,,f0004,E,med,83.32,,Extender
MD26,m,mid,11:03:30,11/15/2022,3,56.1,55.8,55.8,,f0004,S,med,83.32,,Extender
MD26,m,low,11:06:05,11/15/2022,4,53.5,52.2,51.4,,f0004,W,med,83.32,,Extender
MD26,m,top,11:08:50,11/15/2022,5,53.7,52.8,52.9,,f0004,,med,83.32,,Extender
MD26,s,2,11:11:40,11/15/2022,6,47,45.2,46,,f0004,N,lg,183.85,,Extender
MD58,m,mid,11:43:30,11/15/2022,1,48.4,48.4,48.4,,f0005,N,med,83.32,,Extender
MD58,m,low,11:46:15,11/15/2022,2,50,48.4,48.5,,f0005,E,med,83.32,,Extender
MD58,m,mid,11:49:00,11/15/2022,3,49.7,49.2,49.5,,f0005,S,med,83.32,,Extender
MD58,m,low,11:51:35,11/15/2022,4,49.8,49,49.9,,f0005,W,med,83.32,,Extender
MD58,m,top,11:54:30,11/15/2022,5,50.1,48.4,46.9,,f0005,,med,83.32,,Extender
MD58,s,2,11:57:30,11/15/2022,6,42.8,41,41.7,,f0005,N,lg,183.85,,Extender
MD57,m,mid,13:50:30,11/15/2022,1,41.8,42.9,43.7,,f0006,N,sm,47.78,,
MD57,m,low,13:53:10,11/15/2022,2,45.3,45.4,45.6,,f0006,E,sm,47.78,,
MD57,m,mid,13:56:05,11/15/2022,3,45.3,45.7,46.3,,f0006,S,sm,47.78,,
MD57,m,low,13:59:00,11/15/2022,4,46,47,47.7,,f0006,W,sm,47.78,,
MD57,m,top,14:01:40,11/15/2022,5,47.3,48,48.6,,f0006,,sm,47.78,,
MD57,s,2,14:04:30,11/15/2022,6,44.7,43,42.8,,f0006,N,lg,183.85,,
MD56,m,mid,14:08:30,11/15/2022,1,47.7,47.1,46.9,,f0006,N,med,83.32,,Extender
MD56,m,low,14:11:30,11/15/2022,2,47.2,46.8,47,,f0006,E,med,83.32,,Extender
MD56,m,mid,14:14:30,11/15/2022,3,47.3,46.6,46.5,,f0006,S,med,83.32,,Extender
MD56,m,low,14:17:30,11/15/2022,4,46.3,46.3,45.9,,f0006,W,med,83.32,,Extender
MD56,m,top,14:20:30,11/15/2022,5,45.3,44.5,44,,f0006,,med,83.32,,Extender
MD56,s,2,14:23:15,11/15/2022,6,40.7,39.8,39.7,,f0006,N,lg,183.85,,Extender
MD55,m,mid,14:47:00,11/15/2022,1,44.1,44.8,45.2,,f0007,N,med,83.32,,Extender
MD55,m,low,14:49:55,11/15/2022,2,45.8,45.5,45.5,,f0007,E,med,83.32,,Extender
MD55,m,mid,14:52:45,11/15/2022,3,45.9,45.4,45.6,,f0007,S,med,83.32,,Extender
MD55,m,low,14:55:25,11/15/2022,4,45.7,45.3,45.5,,f0007,W,med,83.32,,Extender
MD55,m,top,14:58:15,11/15/2022,5,45.6,44.8,44.5,,f0007,,med,83.32,,Extender
MD55,s,2,15:00:10,11/15/2022,6,42.3,40.6,41.3,,f0007,N,lg,183.85,,Extender
MD37,m,mid,15:55:40,11/15/2022,1,39.4,40.1,40.4,,f0008,N,sm,47.78,,
MD37,m,low,15:58:35,11/15/2022,2,40.4,40.2,40.3,,f0008,E,sm,47.78,,
MD37,m,mid,16:01:15,11/15/2022,3,40.1,40.1,40.3,,f0008,S,sm,47.78,,
MD37,m,low,16:04:00,11/15/2022,4,39.3,39,39,,f0008,W,sm,47.78,,
MD37,s,2,16:07:15,11/15/2022,5,37.1,36.3,36.4,,f0008,N,lg,183.85,,
MD42,m,mid,16:23:00,11/15/2022,1,39.1,39.4,39.9,,f0009,N,sm,47.78,,
MD42,m,low,16:25:50,11/15/2022,2,39.4,39.3,39.3,,f0009,E,sm,47.78,,
MD42,m,mid,16:28:40,11/15/2022,3,40,40,40.2,,f0009,S,sm,47.78,,
MD42,m,low,16:31:25,11/15/2022,4,39.2,38.8,38.8,,f0009,W,sm,47.78,,
MD42,s,2,16:34:15,11/15/2022,5,37.2,36.7,36.7,,f0009,N,lg,183.85,,
MD27,m,mid,08:52:40,11/16/2022,1,36.3,35.7,35.3,,f0000,N,med,83.32,,Extender
MD27,m,low,08:55:25,11/16/2022,2,36.5,38.8,38.9,,f0000,E,med,83.32,,Extender
MD27,m,mid,08:58:10,11/16/2022,3,34.5,34.9,34.3,,f0000,S,med,83.32,,Extender
MD27,m,low,09:00:55,11/16/2022,4,35.1,35.5,35.6,,f0000,W,med,83.32,,Extender
MD27,m,top,09:03:55,11/16/2022,5,36,36.6,36.5,,f0000,,med,83.32,,Extender
MD27,s,2,09:06:40,11/16/2022,6,38.7,39.6,39.9,,f0000,N,lg,183.85,,Extender
MD63,m,mid,09:30:10,11/16/2022,1,36.8,36,35.7,,f0001,N,med,83.32,,Extender
MD63,m,low,09:32:45,11/16/2022,2,35.4,34.1,33.5,,f0001,E,med,83.32,,Extender
MD63,m,mid,09:35:40,11/16/2022,3,35.8,39.2,39.3,,f0001,S,med,83.32,,Extender
MD63,m,low,09:38:20,11/16/2022,4,36,36.2,36.3,,f0001,W,med,83.32,,Extender
MD63,m,top,09:41:00,11/16/2022,5,38,40.1,40.2,,f0001,,med,83.32,,Extender
MD63,s,2,09:43:45,11/16/2022,6,41.3,41.6,40.7,,f0001,N,lg,183.85,,Extender
MD50,m,mid,10:07:00,11/16/2022,1,38.2,42.8,42,,f0002,N,med,83.32,,Extender
MD50,m,low,10:09:50,11/16/2022,2,43.4,45.9,46.4,,f0002,E,med,83.32,,Extender
MD50,m,mid,10:12:35,11/16/2022,3,41.7,40.5,39.5,,f0002,S,med,83.32,,Extender
MD50,m,low,10:15:30,11/16/2022,4,42.1,43.5,43.7,,f0002,W,med,83.32,,Extender
MD50,m,top,10:18:25,11/16/2022,5,43.4,43,42.6,,f0002,,med,83.32,,Extender
MD50,s,2,10:21:15,11/16/2022,6,44.3,45.3,45,,f0002,N,lg,183.85,,Extender
MD54,m,mid,11:40:40,11/16/2022,1,39.9,39.7,39.3,,f0003,N,sm,47.78,,
MD54,m,low,11:43:20,11/16/2022,2,39.4,37.6,37.1,,f0003,E,sm,47.78,,
MD54,m,mid,11:45:55,11/16/2022,3,37.1,35.7,35.6,,f0003,S,sm,47.78,,
MD54,m,low,11:48:30,11/16/2022,4,37,36.3,35.3,,f0003,W,sm,47.78,,
MD54,s,2,11:51:10,11/16/2022,5,47.8,49,48.1,,f0003,N,lg,183.85,,
MD52,m,mid,12:16:00,11/16/2022,1,42.9,43.6,44.1,,f0004,N,med,83.32,,Extender
MD52,m,low,12:18:40,11/16/2022,2,44.5,46.3,46.6,,f0004,E,med,83.32,,Extender
MD52,m,mid,12:21:40,11/16/2022,3,45.9,45.3,44.9,,f0004,S,med,83.32,,Extender
MD52,m,low,12:24:15,11/16/2022,4,43.5,43.9,43.7,,f0004,W,med,83.32,,Extender
MD52,m,top,12:26:55,11/16/2022,5,44.6,45.5,45.6,,f0004,,med,83.32,,Extender
MD52,s,2,12:29:30,11/16/2022,6,51.8,56.2,55.7,,f0004,N,lg,183.85,,Extender
MD59,m,mid,13:52:00,11/16/2022,1,37,37.3,37.3,,f0005,N,med,83.32,,Extender
MD59,m,low,13:54:40,11/16/2022,2,36.1,36.3,36,,f0005,E,med,83.32,,Extender
MD59,m,mid,13:57:25,11/16/2022,3,36.1,36.1,35.5,,f0005,S,med,83.32,,Extender
MD59,m,low,14:00:10,11/16/2022,4,35.6,35.8,35.6,,f0005,W,med,83.32,,Extender
MD59,m,top,14:02:55,11/16/2022,5,35.1,35.5,36,,f0005,,med,83.32,,Extender
MD59,s,2,14:05:30,11/16/2022,6,38.3,39.2,39,,f0005,N,lg,183.85,,Extender
MD65,m,mid,14:22:30,11/16/2022,1,41.5,41.5,42.1,,f0006,N,med,83.32,,Extender
MD65,m,low,14:25:05,11/16/2022,2,41.5,42.7,42.9,,f0006,E,med,83.32,,Extender
MD65,m,mid,14:27:45,11/16/2022,3,43.6,44.5,44.7,,f0006,S,med,83.32,,Extender
MD65,m,low,14:30:25,11/16/2022,4,43.8,44.5,44.7,,f0006,W,med,83.32,,Extender
MD65,m,top,14:33:00,11/16/2022,5,46.2,46.9,47.3,,f0006,,med,83.32,,Extender
MD65,s,2,14:35:50,11/16/2022,6,53.8,58.4,58.2,,f0006,N,lg,183.85,,Extender
MD48,m,mid,14:51:00,11/16/2022,1,41.1,41.7,41.1,,f0007,N,med,83.32,,Extender
MD48,m,low,14:53:50,11/16/2022,2,39.5,39.7,39.2,,f0007,E,med,83.32,,Extender
MD48,m,mid,14:56:25,11/16/2022,3,38.2,38.5,38.1,,f0007,S,med,83.32,,Extender
MD48,m,low,14:59:00,11/16/2022,4,37.6,36.8,36.4,,f0007,W,med,83.32,,Extender
MD48,m,top,15:02:00,11/16/2022,5,37.5,37.4,37.2,,f0007,,med,83.32,,Extender
MD48,s,2,15:04:50,11/16/2022,6,38.9,39.1,38.8,,f0007,N,lg,183.85,,Extender
