sample ,flux_source,position,flux_start,measurement_day_actual,tag,t0,t1,t2,t3,wall_thickness_mm,file,directon,chamber,chamber_SA_cm2,soil_moisture,notes,fieldnotes
MD48,m,low,13:21:10,3/4/2024,4,35.4,35.7,35.6,,39.94,f0005,W,med,83.32,,Extender,
MD48,m,top,13:24:05,3/4/2024,5,34.4,34.4,34.4,,63,f0005,,med,83.32,,Extender,
MD48,s,1,13:26:55,3/4/2024,6,37,36.4,36.4,,,f0005,N,lg,183.85,,Extender,
MD32,m,mid,14:07:10,3/4/2024,1,36.8,37.9,37.8,,40.6,f0006,N,med,83.32,,Extender,
MD32,m,low,14:10:10,3/4/2024,2,36.1,37.9,40.2,,22.13,f0006,E,med,83.32,,Extender,
MD32,m,mid,14:24:00,3/4/2024,3,40.9,40.5,39.8,,24.49,f0006,S,med,83.32,,Extender,"redid measurements, original started at 14:13:30"
MD32,m,low,14:17:20,3/4/2024,4,40.4,40.4,39.9,,12.66,f0006,W,med,83.32,,Extender,
MD32,m,top,14:20:35,3/4/2024,5,42.4,43.2,43.6,,32.76,f0006,,med,83.32,,Extender,
MD32,s,1,14:30:00,3/4/2024,6,42.8,41.8,41.6,,,f0006,N,lg,183.85,,,
MD37,m,mid,09:53:40,3/5/2024,1,32.2,32.6,32.5,,4.53,f0000,N,sm,47.78,,,
MD37,m,low,09:56:25,3/5/2024,2,31.7,31.2,31.5,,4.21,f0000,E,sm,47.78,,,
MD37,m,mid,09:59:00,3/5/2024,3,32.1,32.3,32.3,,12.21,f0000,S,sm,47.78,,,
MD37,m,low,10:01:30,3/5/2024,4,32.5,32.3,32.5,,13.01,f0000,W,sm,47.78,,,
MD37,s,1,10:04:30,3/5/2024,5,41,41.6,41.9,,,f0000,N,lg,183.85,,,
MD42,m,mid,10:16:30,3/5/2024,1,34.9,33.9,33.4,,8.57,f0001,N,sm,47.78,,,
MD42,m,low,10:19:00,3/5/2024,2,34.2,35.2,36,,7.83,f0001,E,sm,47.78,,,
MD42,m,mid,10:21:50,3/5/2024,3,36.1,35.7,35.4,,9.28,f0001,S,sm,47.78,,,
MD42,m,low,10:24:15,3/5/2024,4,34.5,36.5,37,,3.73,f0001,W,sm,47.78,,,
MD42,s,1,10:26:55,3/5/2024,5,42.8,44.5,43.6,,,f0001,N,lg,183.85,,,
MD22,m,mid,10:51:20,3/5/2024,1,38,39,39,,1.6,f0002,N,sm,47.78,,,
MD22,m,low,10:54:00,3/5/2024,2,37.8,37.6,37.4,,10.4,f0002,E,sm,47.78,,,
MD22,m,mid,10:56:40,3/5/2024,3,37.1,36.6,36.5,,4.18,f0002,S,sm,47.78,,,
MD22,m,low,10:59:30,3/5/2024,4,35.5,35.2,35.2,,7.03,f0002,W,sm,47.78,,,
MD22,s,1,11:02:15,3/5/2024,5,46,44.4,43.4,,,f0002,N,lg,183.85,,,
MD24,m,mid,11:13:25,3/5/2024,1,36.2,37.6,37.7,,5.92,f0003,N,sm,47.78,,,
MD24,m,low,11:16:00,3/5/2024,2,37,37.2,37.2,,6.66,f0003,E,sm,47.78,,,
MD24,m,mid,11:18:30,3/5/2024,3,37.4,37.6,37.3,,4.83,f0003,S,sm,47.78,,,
MD24,m,low,11:21:10,3/5/2024,4,36.2,36.4,36.8,,3.52,f0003,W,sm,47.78,,,
MD24,s,1,11:23:45,3/5/2024,5,42.9,42.1,41.6,,,f0003,N,lg,183.85,,,
MD36,m,mid,12:24:45,3/5/2024,1,38,37.5,37.4,,10.31,f0004,N,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,m,low,12:27:20,3/5/2024,2,38.4,38.8,38.6,,9.05,f0004,E,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,m,mid,12:30:00,3/5/2024,3,38.6,36.7,36.1,,9.87,f0004,S,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,m,low,12:32:35,3/5/2024,4,36.3,37.5,38.2,,21.9,f0004,W,sm,47.78,,"not very alive looking, 3/4 negative fluxes",
MD36,s,1,12:35:10,3/5/2024,5,42,43.4,43.4,,,f0004,N,lg,183.85,,"not very alive looking, 3/4 negative fluxes",
MD59,m,mid,09:40:40,3/7/2024,1,35.5,37.6,38,,28.54,f0000,N,med,83.32,,Extender,
MD59,m,low,09:43:30,3/7/2024,2,34.6,36.2,36.7,,23.06,f0000,E,med,83.32,,Extender,
MD59,m,mid,09:46:15,3/7/2024,3,35.1,35,35.4,,27.4,f0000,S,med,83.32,,Extender,
MD59,m,low,09:49:55,3/7/2024,4,38.8,41.3,42.3,,51.48,f0000,W,med,83.32,,Extender,
MD59,m,top,09:52:35,3/7/2024,5,39.5,39,39.3,,58.21,f0000,,med,83.32,,Extender,
MD59,s,1,09:55:10,3/7/2024,6,38.9,37.3,37,,,f0000,N,lg,183.85,,Extender,
MD25,m,mid,10:47:10,3/7/2024,1,38.4,37.9,38.3,,6.96,f0001,N,med,83.32,,Extender,
MD25,m,low,10:50:00,3/7/2024,2,39.2,38.2,38,,6.08,f0001,E,med,83.32,,Extender,
MD25,m,mid,10:52:45,3/7/2024,3,38.7,37.8,38.4,,7.24,f0001,S,med,83.32,,Extender,
MD25,m,low,10:55:35,3/7/2024,4,40.8,39.5,39.7,,8.97,f0001,W,med,83.32,,Extender,
MD25,m,top,10:58:55,3/7/2024,5,42.2,50.5,40.2,,7.59,f0001,,med,83.32,,Extender,
MD25,s,1,11:01:50,3/7/2024,6,39.9,37.6,37.1,,,f0001,N,lg,183.85,,Extender,
MD26,m,mid,11:10:40,3/7/2024,1,40.7,39.7,39.8,,46.2,f0002,N,med,83.32,,Extender,
MD26,m,low,11:13:30,3/7/2024,2,40.2,39.3,39.6,,75.61,f0002,E,med,83.32,,Extender,
MD26,m,mid,11:16:40,3/7/2024,3,42.1,41.3,41,,56.28,f0002,S,med,83.32,,Extender,
MD26,m,low,11:19:20,3/7/2024,4,42.2,41.9,41.8,,108.92,f0002,W,med,83.32,,Extender,
MD26,m,top,11:22:20,3/7/2024,5,42.4,41.8,41.3,,31.76,f0002,,med,83.32,,Extender,
MD26,s,1,11:25:20,3/7/2024,6,39.5,39.9,39.9,,,f0002,N,lg,183.85,,Extender,
