"sample","extract_ID","avg_flux","avg_dif","species_s","rank","Time_start","flux_start","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement","flux.CO2","flux.CO2_umol","flux.CH4","CH4_CO2","R2.CO2","R2.CH4","p.CO2","p.CH4","fieldnotes","wall_thickness_mm","ID_mound","precip_1mo","precip_2mo","precip_3mo","top_emitters"
"MD26","MD26-3-mid",5531.28918834306,2550.34511128985,"C. acinaciformis","top",821.427141203704,"2024-04-12 15:16:00",821.42818287037,"f0039","m","mid","4/01/2004",4,2004,"05/19/2022","3",38.5,39.8,39,NA,"S","med",83.32,NA,"Extender","/01/2004",39.1,"may22","Copto","MD26-3",2210.67978499149,2210679.78499149,2980.94407705321,0.00134842870382726,0.999220132612703,0.998931450091469,3.22356615443158e-143,5.39035485307841e-137,NA,NA,"MD26-may22",129.9,177.9,273.4,"y"
"MD26","MD26-4-low",5531.28918834306,417.156625133272,"C. acinaciformis","top",821.429282407407,"2024-04-12 15:16:00",821.430324074074,"f0039","m","low","4/01/2004",4,2004,"05/19/2022","4",35.4,35.3,35,NA,"W","med",83.32,NA,"Extender","/01/2004",35.2333333333333,"may22","Copto","MD26-4",1095.99016187827,1095990.16187827,5114.13256320979,0.00466622123180866,0.999373097916201,0.99925350522306,1.56295500895633e-147,4.406594965944e-144,NA,NA,"MD26-may22",129.9,177.9,273.4,"y"
"MD26","MD26-5-top",5531.28918834306,369.348853076458,"C. acinaciformis","top",821.431076388889,"2024-04-12 15:16:00",821.432118055556,"f0039","m","top","4/01/2004",4,2004,"05/19/2022","5",35.1,36,36.6,NA,"","med",83.32,NA,"Extender","/01/2004",35.9,"may22","Copto","MD26-5",2312.61358887338,2312613.58887338,5900.63804141952,0.00255150193262252,0.998897720888082,0.99911769219895,2.21680448663444e-136,8.85379055462071e-141,NA,NA,"MD26-may22",129.9,177.9,273.4,"y"
"MD43","MD43-1-mid",4145.65267255934,1800.23264078882,"C. acinaciformis","top",1308.41979166667,"2024-04-12 10:45:00",1308.42083333333,"f0058","m","mid","8/01/2005",8,2005,"05/24/2022","1",39,38.7,38.8,NA,"N","med",83.32,NA,"Extender","/01/2005",38.8333333333333,"may22","Copto","MD43-1",645.659007149739,645659.007149739,5945.88531334816,0.00920901783682422,0.996724262390324,0.995793814837599,7.38733476331465e-115,6.44233713322127e-110,NA,NA,"MD43-may22",129.9,177.9,273.4,"y"
"MD43","MD43-2-low",4145.65267255934,523.660014870024,"C. acinaciformis","top",1308.42175925926,"2024-04-12 10:45:00",1308.42280092593,"f0058","m","low","8/01/2005",8,2005,"05/24/2022","2",36.6,38.2,37.5,NA,"E","med",83.32,NA,"Extender","/01/2005",37.4333333333333,"may22","Copto","MD43-2",523.561432975984,523561.432975984,4669.31268742936,0.00891836639090936,0.995770896601409,0.998648619528963,8.24944127205968e-110,2.35448623910119e-132,NA,NA,"MD43-may22",129.9,177.9,273.4,"y"
"MD43","MD43-5-top",4145.65267255934,1570.26975931182,"C. acinaciformis","top",1308.42777777778,"2024-04-12 10:45:00",1308.42881944444,"f0058","m","top","8/01/2005",8,2005,"05/24/2022","5",35.7,36.5,36.6,NA,"","med",83.32,NA,"Extender","/01/2005",36.2666666666667,"may22","Copto","MD43-5",663.489540025144,663489.540025144,5715.92243187116,0.00861493977984121,0.99837488101606,0.996187532734738,4.16801434038161e-130,4.52021892455864e-113,NA,NA,"MD43-may22",129.9,177.9,273.4,"y"
"MD53","MD53-2-low",3635.61612273076,744.21573761614,"C. acinaciformis","top",1612.42337962963,"2024-04-12 15:10:00",1612.4244212963,"f0070","m","low","6/01/2006",6,2006,"05/25/2022","2",39.2,39.2,39.3,NA,"E","med",83.32,NA,"Extender","/01/2006",39.2333333333333,"may22","Copto","MD53-2",2092.4473368032,2092447.3368032,2891.40038511462,0.00138182707600758,0.999745824932165,0.99965936163141,2.26375501768186e-165,1.38247036763398e-159,NA,NA,"MD53-may22",129.9,177.9,273.4,"y"
"MD53","MD53-4-low",3635.61612273076,1772.80515874369,"C. acinaciformis","top",1612.4275462963,"2024-04-12 15:10:00",1612.42858796296,"f0070","m","low","6/01/2006",6,2006,"05/25/2022","4",30.4,33.4,35,NA,"W","med",83.32,NA,"Extender","/01/2006",32.9333333333333,"may22","Copto","MD53-4",3359.58104617666,3359581.04617666,5408.42128147445,0.00160984992090887,0.998863304216981,0.999023505969983,3.01122482548359e-137,2.77891273003101e-140,NA,NA,"MD53-may22",129.9,177.9,273.4,"y"
"MD53","MD53-5-top",3635.61612273076,434.87818826537,"C. acinaciformis","top",1612.42962962963,"2024-04-12 15:10:00",1612.4306712963,"f0070","m","top","6/01/2006",6,2006,"05/25/2022","5",35.2,35.4,35.4,NA,"","med",83.32,NA,"Extender","/01/2006",35.3333333333333,"may22","Copto","MD53-5",1924.79868608438,1924798.68608438,4070.49431099613,0.00211476365836302,0.996112659402448,0.996398522239556,1.78339212386666e-111,5.51907638642576e-113,NA,NA,"MD53-may22",129.9,177.9,273.4,"y"
"MD8","MD8-2-low",-61.053504439891,70.410642073832,"C. acinaciformis","bottom",243.424421296296,"2024-04-12 12:41:00",243.425462962963,"f0016","m","low","9/01/2002",9,2002,"05/17/2022","2",34.7,34.2,34.5,NA,"E","med",83.32,NA,"Extender","/01/2002",34.4666666666667,"may22","Copto","MD8-2",1110.86159766865,1110861.59766865,-131.464146513723,-0.000118344307508357,0.999493324563984,0.976881656745538,9.69487305420295e-152,3.06355055424251e-76,NA,NA,"MD8-may22",129.9,177.9,273.4,"y"
"MD8","MD8-3-mid",-61.053504439891,80.96200360926,"C. acinaciformis","bottom",243.42662037037,"2024-04-12 12:41:00",243.427662037037,"f0016","m","mid","9/01/2002",9,2002,"05/17/2022","3",33.9,33.6,33,NA,"S","med",83.32,NA,"Extender","/01/2002",33.5,"may22","Copto","MD8-3",1030.51734450797,1030517.34450797,-142.015508049151,-0.000137809915384741,0.999567518939922,0.983992313045048,7.20810178305976e-155,1.66573148573155e-83,NA,NA,"MD8-may22",129.9,177.9,273.4,"y"
"MD8","MD8-4-low",-61.053504439891,54.257047178189,"C. acinaciformis","bottom",243.428703703704,"2024-04-12 12:41:00",243.42974537037,"f0016","m","low","9/01/2002",9,2002,"05/17/2022","4",31.8,31.5,30.9,NA,"W","med",83.32,NA,"Extender","/01/2002",31.4,"may22","Copto","MD8-4",2513.1498901315,2513149.8901315,-115.31055161808,-4.58828787215897e-05,0.996988023317543,0.97571400908195,1.62037390700616e-116,2.88495491191894e-75,NA,NA,"MD8-may22",129.9,177.9,273.4,"y"
"MD9","MD9-1-mid",21.5253624961692,18.7709992865626,"C. acinaciformis","bottom",273.422685185185,"2024-04-12 13:44:00",273.423726851852,"f0017","m","mid","10/01/2002",10,2002,"05/17/2022","1",33.2,32.5,32.6,NA,"N","med",83.32,NA,"Extender","/01/2002",32.7666666666667,"may22","Copto","MD9-1",959.641823294027,959641.823294027,40.2963617827318,4.19910437463138e-05,0.999649179498992,0.853754765711353,5.28039861954031e-159,9.24659237749782e-40,NA,NA,"MD9-may22",129.9,177.9,273.4,"y"
"MD9","MD9-3-mid",21.5253624961692,49.2317205703802,"C. acinaciformis","bottom",273.427314814815,"2024-04-12 13:44:00",273.428356481482,"f0017","m","mid","10/01/2002",10,2002,"05/17/2022","3",31.8,31.6,31.5,NA,"S","med",83.32,NA,"Extender","/01/2002",31.6333333333333,"may22","Copto","MD9-3",545.795444517412,545795.444517412,70.7570830665494,0.000129640296153648,0.9986738747444,0.928373711654337,9.97941483164703e-133,6.96308373641869e-54,NA,NA,"MD9-may22",129.9,177.9,273.4,"y"
"MD9","MD9-4-low",21.5253624961692,120.726883681661,"C. acinaciformis","bottom",273.429340277778,"2024-04-12 13:44:00",273.430381944444,"f0017","m","low","10/01/2002",10,2002,"05/17/2022","4",32.8,33.5,33.3,NA,"W","med",83.32,NA,"Extender","/01/2002",33.2,"may22","Copto","MD9-4",1466.33804412925,1466338.04412925,142.25224617783,9.70119044154673e-05,0.997548911529327,0.980514944284946,1.37271890548777e-120,1.27888524095901e-79,NA,NA,"MD9-may22",129.9,177.9,273.4,"y"
"MD28","MD28-1-mid",55.1955869402289,55.1955869402289,"C. acinaciformis","bottom",882.420833333333,"2024-04-12 08:09:00",882.421875,"f0042","m","mid","6/01/2004",6,2004,"05/20/2022","1",26.2,25.6,25.4,NA,"N","med",83.32,NA,"Extender","/01/2004",25.7333333333333,"may22","Copto","MD28-1",617.774658512584,617774.658512584,0,0,0.998806694454404,0,8.19748161968837e-135,0,NA,NA,"MD28-may22",129.9,177.9,273.4,"y"
"MD28","MD28-2-low",55.1955869402289,42.556161758032,"C. acinaciformis","bottom",882.422800925926,"2024-04-12 08:09:00",882.423842592593,"f0042","m","low","6/01/2004",6,2004,"05/20/2022","2",26.1,26.6,27.2,NA,"E","med",83.32,NA,"Extender","/01/2004",26.6333333333333,"may22","Copto","MD28-2",1263.52267945728,1263522.67945728,97.7517486982609,7.73644591328176e-05,0.998650555516673,0.941755448965181,2.20580288038053e-132,5.66350245350512e-58,NA,NA,"MD28-may22",129.9,177.9,273.4,"y"
"MD28","MD28-3-mid",55.1955869402289,34.5647603070753,"C. acinaciformis","bottom",882.424710648148,"2024-04-12 08:09:00",882.425752314815,"f0042","m","mid","6/01/2004",6,2004,"05/20/2022","3",26.3,27.3,27.7,NA,"S","med",83.32,NA,"Extender","/01/2004",27.1,"may22","Copto","MD28-3",938.909341293446,938909.341293446,20.6308266331536,2.19731828471666e-05,0.998237757604064,0.335928124740571,4.14560474151177e-127,1.14840273967372e-09,NA,NA,"MD28-may22",129.9,177.9,273.4,"y"
"MD6","MD6-3-mid",83.7427841569958,210.658490029866,"C. acinaciformis","bottom",181.42662037037,"2024-04-12 09:36:00",181.427662037037,"f0014","m","mid","7/01/2002",7,2002,"05/17/2022","3",30,29.8,29.8,NA,"S","med",83.32,NA,"","/01/2002",29.8666666666667,"may22","Copto","MD6-3",1209.85616897952,1209856.16897952,-126.91570587287,-0.000104901482611706,0.9990068377796,0.969586488261482,1.93132818966505e-138,8.07821755000065e-71,NA,NA,"MD6-may22",129.9,177.9,273.4,"y"
"MD6","MD6-4-low",83.7427841569958,200.011061415101,"C. acinaciformis","bottom",181.428761574074,"2024-04-12 09:36:00",181.429803240741,"f0014","m","low","7/01/2002",7,2002,"05/17/2022","4",29.5,29.5,29.7,NA,"W","med",83.32,NA,"","/01/2002",29.5666666666667,"may22","Copto","MD6-4",493.422763823855,493422.763823855,-116.268277258105,-0.00023563622471948,0.998373738405723,0.974187943367656,1.07333565824872e-128,4.62072342160702e-74,NA,NA,"MD6-may22",129.9,177.9,273.4,"y"
"MD6","MD6-5-top",83.7427841569958,53.1462705096782,"C. acinaciformis","bottom",181.431365740741,"2024-04-12 09:36:00",181.432407407407,"f0014","m","top","7/01/2002",7,2002,"05/17/2022","5",28.9,29.3,29.7,NA,"","med",83.32,NA,"","/01/2002",29.3,"may22","Copto","MD6-5",1719.69752182088,1719697.52182088,136.889054666674,7.96006582144346e-05,0.99911025092169,0.982369785202032,1.29744448874865e-140,1.34811198064793e-81,NA,NA,"MD6-may22",129.9,177.9,273.4,"y"
"MD11","MD11-5-top",8905.32500256347,280.962248938828,"N. magnus","top",365.430902777778,"2024-04-12 15:54:00",365.431944444444,"f0020","m","top","1/01/2003",1,2003,"05/17/2022","5",31.9,32.4,32.2,NA,"","med",83.32,NA,"Extender","/01/2003",32.1666666666667,"may22","Nasuti","MD11-5",622.829045992546,622829.045992546,8624.36275362464,0.0138470785990412,0.99863792169362,0.998474796886782,3.37062421602983e-132,5.79375553063757e-130,NA,NA,"MD11-may22",129.9,177.9,273.4,"y"
"MD11","MD11-3-mid",8905.32500256347,3518.56460088328,"N. magnus","top",365.4265625,"2024-04-12 15:54:00",365.427604166667,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022","3",30.1,30,30.1,NA,"S","med",83.32,NA,"Extender","/01/2003",30.0666666666667,"may22","Nasuti","MD11-3",553.160549293695,553160.549293695,5386.76040168019,0.00973814999742533,0.994859195237841,0.991431644864506,5.94616374152336e-106,7.41120623317892e-96,NA,NA,"MD11-may22",129.9,177.9,273.4,"y"
"MD11","MD11-1-mid",8905.32500256347,3788.79737497003,"N. magnus","top",365.422280092593,"2024-04-12 15:54:00",365.423321759259,"f0020","m","mid","1/01/2003",1,2003,"05/17/2022","1",31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti","MD11-1",1143.63511485451,1143635.11485451,12694.1223775335,0.011099801162671,0.999507796913692,0.999458799835568,5.72281824508475e-154,4.50241359907668e-152,NA,NA,"MD11-may22",129.9,177.9,273.4,"y"
